Morning Snack1,Morning Snack2,Lunch1,Lunch2,Lunch3,Lunch4,Lunch5,Afternoon Snack1,Afternoon Snack2,Dinner1,Dinner2,Dinner3,Dinner4,Dinner5
S_homestyle banana milk,#N/A,steamed sweet millet rice,curled mallow soy paste soup,grilled mackerel,seasoned perilla leaf,radish kimchi cubes,S_rainbow rice cake,S_green plum tea,steamed mixed-grain rice,tofu salted shrimp soup or stew,stir-fried chicken breast in curry,pickled daikon,napa cabbage kimchi
S_beef veggie porridge,#N/A,steamed millet rice,bean sprout soup,braised chicken and beef in soy sauce,stir-fried cucumber,napa cabbage kimchi,S_grilled corn with butter,S_milk (150ml),steamed sweet millet rice,mushroom soup,(chilli powder-free) braised mackerel,deep-fried onion ring,radish kimchi cubes
S_kiwi,S_yoghurt (100ml),hashed rice,summer radish soy paste soup,macaroni cucumber salad,radish kimchi cubes,#N/A,S_scrambled eggs with tomato,#N/A,steamed millet rice,mild chicken stew,braised konjac and quail eggs in soy sauce,pan-fried winter mushroom in curry,napa cabbage kimchi
S_broccoli porridge,#N/A,steamed black rice,mini-udon (white wheat noodles),stir-fried beef,seasoned cabbage,radish kimchi cubes,S_apple,S_milk (150ml),steamed mixed-grain rice,dried pollack daikon soup,stir-fried pork and paprika,summer radish,radish kimchi cubes
S_orange,S_yoghurt (100ml),steamed rice with black beans,winter mushroom soup,Mapa tofu,sweet potato stem with herbs,napa cabbage kimchi,S_anchovy rice ball,S_Omija tea,steamed black rice,fried fish paste soup,stir-fried beef and cabbage,steamed aubergine in marinade sauce,radish kimchi cubes
S_milk (150ml),#N/A,steamed white rice (add),banquet noodles,Neobiani,napa cabbage kimchi,#N/A,S_pan-fried sweet pumpkin,#N/A,steamed rice with black beans,summer radish soy paste soup,braised tofu in marinade sauce,seasoned salad with soft crab and bean sprout,napa cabbage kimchi
S_pear,#N/A,steamed millet rice,napa cabbage soup,steamed beef with rice cake,seasoned salad with lotus root in black sesame sauce,radish kimchi cubes,S_cream bun,S_milk (150ml),steamed black rice,crab soup,stir-fried meat ball and vegetables,seasoned salad with cucumber,napa cabbage kimchi
S_abalone porridge,#N/A,steamed white rice,zucchini soy paste soup,grilled Atka mackerel,stir-fried Yangsongyi mushroom,napa cabbage kimchi,S_soy-based mixed noodles,S_milk (150ml),steamed millet rice,beef soup,stir-fried pork in teriyaki sauce,braised lotus root and peanut,radish kimchi cubes
S_melon,#N/A,barbequed beef rice bowl,tofu soup,rolled omelette with vegetables,napa cabbage kimchi,#N/A,S_half-moon rice cake,S_milk (150ml),steamed white rice,mushroom stew,stir-fried octopus,stir-fried dried shrimp and zucchini,napa cabbage kimchi
S_sweet pumpkin porridge,#N/A,steamed millet rice,mild beef stew,stir-fried pork and pineapple,seasoned green bean sprout,napa cabbage kimchi,S_sweet potato mattang (sugar-glazed deep-fried sweet potato wedge),S_milk (100ml),steamed sweet millet rice,egg spring onion soup,stir-fried beef and glass noodles,seasoned salad with mung bean jelly and salted seaweed,napa cabbage kimchi
S_apple,#N/A,steamed black rice,spinach soy paste soup,stir-fried chicken,stir-fried potato and carrot,radish kimchi cubes,S_hot dog,S_milk (150ml),steamed millet rice,freshwater snail soy paste soup with curled mallow,stir-fried pork and green bean sprout,steamed cabbage,napa cabbage kimchi
S_milk (150ml),#N/A,cuttlefish rice bowl,fried tofu soy paste soup,pan-fried meat dumpling,napa cabbage kimchi,#N/A,S_pan-fried shrimp and vegetables,#N/A,steamed black rice,bean sprout soup,braised chicken and walnut,potato yoghurt salad,radish kimchi cubes
S_grape,#N/A,steamed rice with black beans,potato onion soup,grilled Spanish mackerel,stir-fried stem of paprika and glass noodlee,napa cabbage kimchi,S_sponge cake,S_milk (150ml),steamed millet rice,mild soft tofu stew,stir-fried cuttlefish and rice cake,seasoned salad with bellflower root and pear,napa cabbage kimchi
S_corn porridge,#N/A,steamed millet rice,rich soy paste stew,braised eggs in soy sauce,seasoned salad with soft crab and bean sprout,napa cabbage kimchi,S_veggie rice ball,S_milk (150ml),steamed rice with black beans,zucchini leaf soy paste soup,stir-fried chicken breast with three-color paprika,pan-fried lotus root with fried fish paste,napa cabbage kimchi
S_homestyle banana milk,#N/A,stir-fried rice with pork in oyster sauce,egg spring onion soup,braised mini-potato,radish kimchi cubes,#N/A,S_black soy noodles,#N/A,steamed millet rice,bean sprout soup,rolled omelette with cheese,stir-fried broccoli and garlic,napa cabbage kimchi
S_egg veggie porridge,#N/A,steamed white rice,napa cabbage soup,stir-fried beef and vegetables,steamed aubergine in marinade sauce,radish kimchi cubes,S_fermented rice cake,S_milk (150ml),steamed white rice (add),Sujebi with potato,stir-fried pork and cucumber,daikon salad,napa cabbage kimchi
S_nuts,S_yoghurt (100ml),steamed rice with black beans,chard soy paste soup,roasted chicken in teriyaki sauce,seasoned spinach,napa cabbage kimchi,S_croissant,#N/A,steamed white rice,rice cake seaweed soup,braised beef in soy sauce,seasoned napa cabbage,radish kimchi cubes
S_milk (150ml),#N/A,tomato spaghetti,veggie soup,fruit salad,napa cabbage kimchi,#N/A,S_orange juice (sugar-free),S_soboro bun (streusel-like crusted bread),steamed rice with black beans,spinach soy paste soup,roasted chicken with butter,seasoned chard,napa cabbage kimchi
S_cherry tomato,S_cheese,steamed black rice,beef daikon soup,grilled halibut,braised burdock slices,napa cabbage kimchi,S_rice ball with fried tofu,#N/A,steamed sweet millet rice,bokchoy soup,pan-fried beef and perilla,seasoned napa cabbage,napa cabbage kimchi
S_chive chicken porridge,#N/A,steamed millet rice,mushroom soup,stir-fried pork and bokchoy,seasoned cucumber,radish kimchi cubes,S_boiled egg,S_milk (150ml),steamed black rice,soy puree stew,grilled halibut with sweet rice,stir-fried burdock and glass noodles,napa cabbage kimchi
S_cereal,S_milk (150ml),stir-fried rice with tuna and vegetables,crown daisy soy paste soup,sweet pumpkin salad,napa cabbage kimchi,#N/A,S_soy-based tteokbokki (stir-fried rice cake),#N/A,steamed millet rice,napa cabbage soup,stir-fried pork and kimchi,Fusilli salad (tomato sauce),radish kimchi cubes
S_curled mallow soy paste porridge,#N/A,steamed white rice,cuttlefish soup,braised tofu in marinade sauce,stir-fried broccoli and nuts,radish kimchi cubes,S_steamed mandu (dumpling),S_milk (150ml),steamed millet rice,beef daikon soup,stir-fried tuna and vegetables,fried sweet pumpkin,napa cabbage kimchi
S_pear,S_milk (150ml),steamed black rice,perilla seed seaweed soup,stir-fried beef and onion,stir-fried baby anchovy,radish kimchi cubes,S_Yaksik (sweet rice with jujube),#N/A,steamed white rice,tofu soup,stir-fried cuttlefish + plain noodles,onion in vinegar marinade,radish kimchi cubes
S_milk (150ml),#N/A,stir-fried rice with shrimp,dried pollack soup,seasoned salad with acorn jelly,radish kimchi cubes,#N/A,S_snow white rice cake,S_green plum tea,steamed black rice,butterbur perilla seed soup,stir-fried beef with perilla leaves,seasoned salad with broccoli in black sesame sauce,radish kimchi cubes
S_blueberry,S_yoghurt (100ml),steamed rice with black beans,fried fish paste soup,stir-fried duck and vegetables,seasoned zucchini,napa cabbage kimchi,S_homestyle potato pizza,#N/A,steamed sweet millet rice,acorn jelly soup,stir-fried shrimp and vegetables,stir-fried cucumber,radish kimchi cubes
S_sweet potato porridge,#N/A,steamed sweet millet rice,curled mallow soy paste soup,grilled mackerel,seasoned perilla leaf,radish kimchi cubes,S_rainbow rice cake,S_green plum tea,steamed mixed-grain rice,tofu salted shrimp soup or stew,stir-fried chicken breast in curry,pickled daikon,napa cabbage kimchi
S_beef veggie porridge,#N/A,steamed millet rice,bean sprout soup,braised chicken and beef in soy sauce,stir-fried cucumber,napa cabbage kimchi,S_grilled corn with butter,S_milk (150ml),steamed sweet millet rice,mushroom soup,(chilli powder-free) braised mackerel,deep-fried onion ring,radish kimchi cubes
S_egg veggie porridge,#N/A,hashed rice,summer radish soy paste soup,macaroni cucumber salad,radish kimchi cubes,#N/A,S_kiwi,S_yoghurt (100ml),steamed millet rice,mild chicken stew,braised konjac and quail eggs in soy sauce,pan-fried winter mushroom in curry,napa cabbage kimchi
S_broccoli porridge,#N/A,steamed black rice,mini-udon (white wheat noodles),stir-fried beef,seasoned cabbage,radish kimchi cubes,S_apple,S_milk (150ml),steamed mixed-grain rice,dried pollack daikon soup,stir-fried pork and paprika,summer radish,radish kimchi cubes
S_perilla porridge,#N/A,steamed rice with black beans,winter mushroom soup,Mapa tofu,sweet potato stem with herbs,napa cabbage kimchi,S_pan-fried sweet pumpkin,#N/A,steamed black rice,fried fish paste soup,stir-fried beef and cabbage,steamed aubergine in marinade sauce,radish kimchi cubes
S_milk (150ml),#N/A,steamed white rice (add),banquet noodles,Neobiani,napa cabbage kimchi,#N/A,S_pan-fried sweet pumpkin,#N/A,steamed rice with black beans,summer radish soy paste soup,braised tofu in marinade sauce,seasoned salad with soft crab and bean sprout,napa cabbage kimchi
S_chive chicken porridge,#N/A,steamed millet rice,napa cabbage soup,steamed beef with rice cake,seasoned salad with lotus root in black sesame sauce,radish kimchi cubes,S_pear,S_milk (150ml),steamed black rice,crab soup,stir-fried meat ball and vegetables,seasoned salad with cucumber,napa cabbage kimchi
S_abalone porridge,#N/A,steamed white rice,zucchini soy paste soup,grilled Atka mackerel,stir-fried Yangsongyi mushroom,napa cabbage kimchi,S_soy-based mixed noodles,S_milk (150ml),steamed millet rice,beef soup,stir-fried pork in teriyaki sauce,braised lotus root and peanut,radish kimchi cubes
S_potato porridge,S_milk (100ml),barbequed beef rice bowl,tofu soup,rolled omelette with vegetables,napa cabbage kimchi,#N/A,S_melon,S_milk (150ml),steamed white rice,mushroom stew,stir-fried octopus,stir-fried dried shrimp and zucchini,napa cabbage kimchi
S_sweet pumpkin porridge,#N/A,steamed millet rice,mild beef stew,stir-fried pork and pineapple,seasoned green bean sprout,napa cabbage kimchi,S_sweet potato mattang (sugar-glazed deep-fried sweet potato wedge),S_milk (100ml),steamed sweet millet rice,egg spring onion soup,stir-fried beef and glass noodles,seasoned salad with mung bean jelly and salted seaweed,napa cabbage kimchi
S_peanut porridge,#N/A,steamed black rice,spinach soy paste soup,stir-fried chicken,stir-fried potato and carrot,radish kimchi cubes,S_fruit salad,S_milk (150ml),steamed millet rice,freshwater snail soy paste soup with curled mallow,stir-fried pork and green bean sprout,steamed cabbage,napa cabbage kimchi
S_milk (150ml),#N/A,cuttlefish rice bowl,fried tofu soy paste soup,pan-fried meat dumpling,napa cabbage kimchi,#N/A,S_pan-fried shrimp and vegetables,#N/A,steamed black rice,bean sprout soup,braised chicken and walnut,potato yoghurt salad,radish kimchi cubes
S_summer radish porridge,S_milk (100ml),steamed rice with black beans,potato onion soup,grilled Spanish mackerel,stir-fried stem of paprika and glass noodlee,napa cabbage kimchi,S_grape,S_milk (100ml),steamed millet rice,mild soft tofu stew,stir-fried cuttlefish and rice cake,seasoned salad with bellflower root and pear,napa cabbage kimchi
S_corn porridge,#N/A,steamed millet rice,rich soy paste stew,braised eggs in soy sauce,seasoned salad with soft crab and bean sprout,napa cabbage kimchi,S_veggie rice ball,S_milk (150ml),steamed rice with black beans,zucchini leaf soy paste soup,stir-fried chicken breast with three-color paprika,pan-fried lotus root with fried fish paste,napa cabbage kimchi
S_bean sprout porridge,S_milk (100ml),stir-fried rice with pork in oyster sauce,egg spring onion soup,braised mini-potato,radish kimchi cubes,#N/A,S_banana,S_milk (100ml),steamed millet rice,bean sprout soup,rolled omelette with cheese,stir-fried broccoli and garlic,napa cabbage kimchi
S_egg veggie porridge,#N/A,steamed white rice,napa cabbage soup,stir-fried beef and vegetables,steamed aubergine in marinade sauce,radish kimchi cubes,S_fermented rice cake,S_milk (150ml),steamed white rice (add),Sujebi with potato,stir-fried pork and cucumber,daikon salad,napa cabbage kimchi
S_pollack porridge,#N/A,steamed rice with black beans,chard soy paste soup,roasted chicken in teriyaki sauce,seasoned spinach,napa cabbage kimchi,S_nuts,S_yoghurt (100ml),steamed white rice,rice cake seaweed soup,braised beef in soy sauce,seasoned napa cabbage,radish kimchi cubes
S_milk (150ml),#N/A,tomato spaghetti,veggie soup,fruit salad,napa cabbage kimchi,#N/A,S_orange juice (sugar-free),S_soboro bun (streusel-like crusted bread),steamed rice with black beans,spinach soy paste soup,roasted chicken with butter,seasoned chard,napa cabbage kimchi
S_black sesame porridge,#N/A,steamed black rice,beef daikon soup,grilled halibut,braised burdock slices,napa cabbage kimchi,S_cherry tomato,S_milk (150ml),steamed sweet millet rice,bokchoy soup,pan-fried beef and perilla,seasoned napa cabbage,napa cabbage kimchi
S_chive chicken porridge,#N/A,steamed millet rice,mushroom soup,stir-fried pork and bokchoy,seasoned cucumber,radish kimchi cubes,S_boiled egg,S_milk (150ml),steamed black rice,soy puree stew,grilled halibut with sweet rice,stir-fried burdock and glass noodles,napa cabbage kimchi
S_corn porridge,#N/A,stir-fried rice with tuna and vegetables,crown daisy soy paste soup,sweet pumpkin salad,napa cabbage kimchi,#N/A,S_cereal,S_milk (150ml),steamed millet rice,napa cabbage soup,stir-fried pork and kimchi,Fusilli salad (tomato sauce),radish kimchi cubes
S_curled mallow soy paste porridge,#N/A,steamed white rice,cuttlefish soup,braised tofu in marinade sauce,stir-fried broccoli and nuts,radish kimchi cubes,S_steamed mandu (dumpling),S_milk (150ml),steamed millet rice,beef daikon soup,stir-fried tuna and vegetables,fried sweet pumpkin,napa cabbage kimchi
S_zucchini porridge,S_milk (100ml),steamed black rice,perilla seed seaweed soup,stir-fried beef and onion,stir-fried baby anchovy,radish kimchi cubes,S_pear,S_milk (100ml),steamed white rice,tofu soup,stir-fried cuttlefish + plain noodles,onion in vinegar marinade,radish kimchi cubes
S_milk (150ml),#N/A,stir-fried rice with shrimp,dried pollack soup,seasoned salad with acorn jelly,radish kimchi cubes,#N/A,S_snow white rice cake,S_green plum tea,steamed black rice,butterbur perilla seed soup,stir-fried beef with perilla leaves,seasoned salad with broccoli in black sesame sauce,radish kimchi cubes
S_soft crab porridge,#N/A,steamed rice with black beans,fried fish paste soup,stir-fried duck and vegetables,seasoned zucchini,napa cabbage kimchi,S_blueberry,S_yoghurt (100ml),steamed sweet millet rice,acorn jelly soup,stir-fried shrimp and vegetables,stir-fried cucumber,radish kimchi cubes
S_kiwi,S_yoghurt (100ml),steamed sweet millet rice,curled mallow soy paste soup,grilled mackerel,seasoned perilla leaf,radish kimchi cubes,S_rainbow rice cake,S_green plum tea,steamed mixed-grain rice,tofu salted shrimp soup or stew,stir-fried chicken breast in curry,pickled daikon,napa cabbage kimchi
S_beef veggie porridge,#N/A,steamed millet rice,bean sprout soup,braised chicken and beef in soy sauce,stir-fried cucumber,napa cabbage kimchi,S_grilled corn with butter,S_milk (150ml),steamed sweet millet rice,mushroom soup,(chilli powder-free) braised mackerel,deep-fried onion ring,radish kimchi cubes
S_homestyle banana milk,#N/A,hashed rice,summer radish soy paste soup,macaroni cucumber salad,radish kimchi cubes,#N/A,S_scrambled eggs with tomato,#N/A,steamed millet rice,mild chicken stew,braised konjac and quail eggs in soy sauce,seasoned salad with bean sprout and salted seaweed,napa cabbage kimchi
S_broccoli porridge,#N/A,steamed black rice,mini-udon (white wheat noodles),braised beef and walnut,seasoned cabbage,radish kimchi cubes,S_apple,S_milk (150ml),steamed mixed-grain rice,dried pollack daikon soup,stir-fried pork and paprika,summer radish,radish kimchi cubes
S_orange,S_yoghurt (100ml),steamed rice with black beans,winter mushroom soup,Mapa tofu,sweet potato stem with herbs,napa cabbage kimchi,S_anchovy rice ball,S_Omija tea,steamed black rice,fried fish paste soup,stir-fried beef and cabbage,steamed aubergine in marinade sauce,radish kimchi cubes
S_milk (150ml),#N/A,soy paste rice bowl with soft tofu,seaweed soup,Neobiani,napa cabbage kimchi,#N/A,S_pan-fried sweet pumpkin,#N/A,steamed rice with black beans,summer radish soy paste soup,braised tofu in marinade sauce,pan-fried winter mushroom in curry,napa cabbage kimchi
S_pear,#N/A,steamed millet rice,napa cabbage soup,stir-fried chicken breast and vegetables,seasoned salad with lotus root in black sesame sauce,radish kimchi cubes,S_cream bun,S_milk (150ml),steamed black rice,crab soup,stir-fried meat ball and vegetables,soft tofu + black sesame sauce,napa cabbage kimchi
S_abalone porridge,#N/A,steamed white rice,zucchini soy paste soup,grilled Atka mackerel,stir-fried Yangsongyi mushroom,napa cabbage kimchi,S_soy-based mixed noodles,S_milk (150ml),steamed millet rice,beef soup,deep-fried chicken nuggets in soy sauce,braised lotus root and peanut,radish kimchi cubes
S_cereal,S_milk (150ml),cuttlefish rice bowl,tofu soup,braised eggs in soy sauce,napa cabbage kimchi,#N/A,S_steamed sweet potato,S_barley tea,steamed white rice,mushroom stew,stir-fried beef and Yangsongyi mushroom,stir-fried dried shrimp and zucchini,napa cabbage kimchi
S_sweet pumpkin porridge,#N/A,steamed millet rice,persimmon pine nut soup,stir-fried pork and pineapple,seasoned green bean sprout,napa cabbage kimchi,S_French toast,S_milk (100ml),steamed sweet millet rice,egg spring onion soup,pan-fried vegetables and cuttlefish dumpling,seasoned salad with mung bean jelly and salted seaweed,napa cabbage kimchi
S_cucumber carrot stick,S_yoghurt (100ml),steamed black rice,chive perilla seed soup,stir-fried chicken,stir-fried potato and carrot,radish kimchi cubes,S_half-moon rice cake,S_milk (150ml),steamed millet rice,freshwater snail soy paste soup with curled mallow,stir-fried pork and green bean sprout,braised potato,napa cabbage kimchi
S_milk (150ml),#N/A,beef daikon rice + marinade sauce,fried tofu soy paste soup,stir-fried quail eggs and paprika,napa cabbage kimchi,#N/A,S_pan-fried shrimp and vegetables,S_green plum tea,steamed black rice,bean sprout soup,braised chicken and walnut,(chilli powder-free) seasoned salad with chive and apple,radish kimchi cubes
S_grape,S_milk (150ml),steamed rice with black beans,egg spring onion soup,grilled Spanish mackerel,stir-fried stem of paprika and glass noodlee,napa cabbage kimchi,S_snow white rice cake,S_Omija tea,steamed millet rice,mild soft tofu stew,roasted pork roll with rice cake,stir-fried corn in tomato sauce,napa cabbage kimchi
S_corn porridge,#N/A,steamed millet rice,curled mallow soy paste soup,barbequed pork,seasoned salad with spring parsley,napa cabbage kimchi,S_veggie rice ball,S_milk (150ml),steamed rice with black beans,zucchini leaf soy paste soup,stir-fried chicken breast with three-color paprika,pan-fried lotus root with fried fish paste,napa cabbage kimchi
S_banana,#N/A,stir-fried rice with pork in oyster sauce,chard soy paste soup,braised mini-potato,radish kimchi cubes,#N/A,S_sponge cake,S_milk (150ml),steamed millet rice,bean sprout soup,rolled omelette with cheese,stir-fried broccoli and garlic,napa cabbage kimchi
S_egg veggie porridge,#N/A,steamed white rice,napa cabbage soup,stir-fried beef and vegetables,steamed aubergine in marinade sauce,radish kimchi cubes,S_fermented rice cake,S_milk (150ml),steamed white rice (add),Sujebi with potato,stir-fried pork and cucumber,daikon salad,napa cabbage kimchi
S_potato raisin salad,S_milk (150ml),steamed rice with black beans,daikon perilla seed soup,roasted chicken in teriyaki sauce,seasoned spinach,napa cabbage kimchi,S_steamed mandu (dumpling),S_green plum tea,steamed white rice,rice cake seaweed soup,braised beef in soy sauce,seasoned napa cabbage,radish kimchi cubes
S_milk (150ml),#N/A,tomato spaghetti,veggie soup,fruit salad,napa cabbage kimchi,#N/A,S_orange juice (sugar-free),S_bread roll,steamed rice with black beans,spinach soy paste soup,roasted chicken with butter,seasoned daikon,napa cabbage kimchi
S_cherry tomato,S_cheese,steamed black rice,beef daikon soup,grilled cutlassfish,braised burdock slices,napa cabbage kimchi,S_steamed rice cake,S_milk (150ml),steamed sweet millet rice,bokchoy soup,pan-fried beef and perilla,seasoned napa cabbage,napa cabbage kimchi
S_chive chicken porridge,#N/A,steamed millet rice,mushroom soup,stir-fried pork and bokchoy,seasoned cucumber,radish kimchi cubes,S_potato yoghurt salad,S_milk (150ml),steamed black rice,dried shrimp daikon soup,grilled halibut with sweet rice,stir-fried burdock and glass noodles,napa cabbage kimchi
S_apple,#N/A,stir-fried rice with tuna and vegetables,crown daisy soy paste soup,royal-style tteokbokki (stir-fried rice cake),napa cabbage kimchi,#N/A,S_cream sauce spaghetti,#N/A,steamed millet rice,napa cabbage soup,stir-fried pork and kimchi,Fusilli salad (tomato sauce),radish kimchi cubes
S_curled mallow soy paste porridge,#N/A,steamed white rice,cuttlefish soup,braised tofu in marinade sauce,stir-fried broccoli and nuts,radish kimchi cubes,S_pan-fried chive,S_milk (150ml),steamed millet rice,beef daikon soup,stir-fried tuna and vegetables,fried sweet pumpkin,napa cabbage kimchi
S_pear,S_milk (150ml),steamed black rice,seaweed soy paste soup,stir-fried beef and onion,stir-fried baby anchovy,radish kimchi cubes,S_Yaksik (sweet rice with jujube),#N/A,steamed white rice,tofu soup,stir-fried cuttlefish,deep-fried broccoli,radish kimchi cubes
S_milk (150ml),#N/A,stir-fried rice with shrimp,dried pollack soup,seasoned salad with acorn jelly,radish kimchi cubes,#N/A,S_snow white rice cake,S_green plum tea,steamed black rice,butterbur perilla seed soup,stir-fried beef with perilla leaves,braised anchovy and almond,radish kimchi cubes
S_sweet persimmon,S_yoghurt (100ml),steamed rice with black beans,fried fish paste soup,stir-fried duck and vegetables,seasoned zucchini,napa cabbage kimchi,S_pizza bread,#N/A,steamed sweet millet rice,acorn jelly soup,stir-fried shrimp and vegetables,stir-fried cucumber,radish kimchi cubes
S_sweet potato porridge,#N/A,steamed sweet millet rice,curled mallow soy paste soup,grilled mackerel,seasoned perilla leaf,radish kimchi cubes,S_rainbow rice cake,S_green plum tea,steamed mixed-grain rice,tofu salted shrimp soup or stew,stir-fried chicken breast in curry,pickled daikon,napa cabbage kimchi
S_beef veggie porridge,#N/A,steamed millet rice,bean sprout soup,braised chicken and beef in soy sauce,stir-fried cucumber,napa cabbage kimchi,S_grilled corn with butter,S_milk (150ml),steamed sweet millet rice,mushroom soup,(chilli powder-free) braised mackerel,deep-fried onion ring,radish kimchi cubes
S_egg veggie porridge,#N/A,hashed rice,summer radish soy paste soup,macaroni cucumber salad,radish kimchi cubes,#N/A,S_kiwi,S_yoghurt (100ml),steamed millet rice,mild chicken stew,braised konjac and quail eggs in soy sauce,seasoned salad with bean sprout and salted seaweed,napa cabbage kimchi
S_broccoli porridge,#N/A,steamed black rice,mini-udon (white wheat noodles),braised beef and walnut,seasoned cabbage,radish kimchi cubes,S_apple,S_milk (150ml),steamed mixed-grain rice,dried pollack daikon soup,stir-fried pork and paprika,summer radish,radish kimchi cubes
S_perilla seed tofu porridge,#N/A,steamed rice with black beans,winter mushroom soup,Mapa tofu,sweet potato stem with herbs,napa cabbage kimchi,S_homestyle banana milk,#N/A,steamed black rice,fried fish paste soup,stir-fried beef and cabbage,steamed aubergine in marinade sauce,radish kimchi cubes
S_milk (150ml),#N/A,soy paste rice bowl with soft tofu,seaweed soup,Neobiani,napa cabbage kimchi,#N/A,S_pan-fried sweet pumpkin,#N/A,steamed rice with black beans,summer radish soy paste soup,braised tofu in marinade sauce,pan-fried winter mushroom in curry,napa cabbage kimchi
S_chive chicken porridge,#N/A,steamed millet rice,napa cabbage soup,stir-fried chicken breast and vegetables,seasoned salad with lotus root in black sesame sauce,radish kimchi cubes,S_pear,S_milk (150ml),steamed black rice,crab soup,stir-fried meat ball and vegetables,soft tofu + black sesame sauce,napa cabbage kimchi
S_abalone porridge,#N/A,steamed white rice,zucchini soy paste soup,grilled Atka mackerel,stir-fried Yangsongyi mushroom,napa cabbage kimchi,S_soy-based mixed noodles,S_milk (150ml),steamed millet rice,beef soup,deep-fried chicken nuggets in soy sauce,braised lotus root and peanut,radish kimchi cubes
S_potato porridge,#N/A,cuttlefish rice bowl,tofu soup,braised eggs in soy sauce,napa cabbage kimchi,#N/A,S_steamed sweet potato,S_milk (150ml),steamed white rice,mushroom stew,stir-fried beef and Yangsongyi mushroom,stir-fried dried shrimp and zucchini,napa cabbage kimchi
S_sweet pumpkin porridge,#N/A,steamed millet rice,persimmon pine nut soup,stir-fried pork and pineapple,seasoned green bean sprout,napa cabbage kimchi,S_French toast,S_milk (100ml),steamed sweet millet rice,egg spring onion soup,pan-fried vegetables and cuttlefish dumpling,seasoned salad with mung bean jelly and salted seaweed,napa cabbage kimchi
S_peanut porridge,#N/A,steamed black rice,chive perilla seed soup,stir-fried chicken,stir-fried potato and carrot,radish kimchi cubes,S_fruit salad,S_milk (150ml),steamed millet rice,freshwater snail soy paste soup with curled mallow,stir-fried pork and green bean sprout,braised potato,napa cabbage kimchi
S_milk (150ml),#N/A,beef daikon rice + marinade sauce,fried tofu soy paste soup,stir-fried quail eggs and paprika,napa cabbage kimchi,#N/A,S_pan-fried shrimp and vegetables,S_green plum tea,steamed black rice,bean sprout soup,braised chicken and walnut,(chilli powder-free) seasoned salad with chive and apple,radish kimchi cubes
S_summer radish porridge,#N/A,steamed rice with black beans,egg spring onion soup,grilled Spanish mackerel,stir-fried stem of paprika and glass noodlee,napa cabbage kimchi,S_grape,S_milk (150ml),steamed millet rice,mild soft tofu stew,roasted pork roll with rice cake,stir-fried corn in tomato sauce,napa cabbage kimchi
S_corn porridge,#N/A,steamed millet rice,curled mallow soy paste soup,barbequed pork,seasoned salad with spring parsley,napa cabbage kimchi,S_veggie rice ball,S_milk (150ml),steamed rice with black beans,zucchini leaf soy paste soup,stir-fried chicken breast with three-color paprika,pan-fried lotus root with fried fish paste,napa cabbage kimchi
S_bean sprout porridge,#N/A,stir-fried rice with pork in oyster sauce,chard soy paste soup,braised mini-potato,radish kimchi cubes,#N/A,S_banana,S_milk (150ml),steamed millet rice,bean sprout soup,rolled omelette with cheese,stir-fried broccoli and garlic,napa cabbage kimchi
S_egg veggie porridge,#N/A,steamed white rice,napa cabbage soup,stir-fried beef and vegetables,steamed aubergine in marinade sauce,radish kimchi cubes,S_fermented rice cake,S_milk (150ml),steamed white rice (add),Sujebi with potato,stir-fried pork and cucumber,daikon salad,napa cabbage kimchi
S_pollack porridge,#N/A,steamed rice with black beans,daikon perilla seed soup,roasted chicken in teriyaki sauce,seasoned spinach,napa cabbage kimchi,S_potato raisin salad,S_milk (150ml),steamed white rice,rice cake seaweed soup,braised beef in soy sauce,seasoned napa cabbage,radish kimchi cubes
S_milk (150ml),#N/A,tomato spaghetti,veggie soup,fruit salad,napa cabbage kimchi,#N/A,S_orange juice (sugar-free),S_bread roll,steamed rice with black beans,spinach soy paste soup,roasted chicken with butter,seasoned daikon,napa cabbage kimchi
S_black sesame porridge,#N/A,steamed black rice,beef daikon soup,grilled cutlassfish,braised burdock slices,napa cabbage kimchi,S_cherry tomato,S_milk (150ml),steamed sweet millet rice,bokchoy soup,pan-fried beef and perilla,seasoned napa cabbage,napa cabbage kimchi
S_chicken porridge,#N/A,steamed millet rice,mushroom soup,stir-fried pork and bokchoy,seasoned cucumber,radish kimchi cubes,S_boiled egg,S_milk (150ml),steamed black rice,dried shrimp daikon soup,grilled halibut with sweet rice,stir-fried burdock and glass noodles,napa cabbage kimchi
S_corn porridge,#N/A,stir-fried rice with tuna and vegetables,crown daisy soy paste soup,royal-style tteokbokki (stir-fried rice cake),napa cabbage kimchi,#N/A,S_pear,S_milk (150ml),steamed millet rice,napa cabbage soup,stir-fried pork and kimchi,Fusilli salad (tomato sauce),radish kimchi cubes
S_curled mallow soy paste porridge,#N/A,steamed white rice,cuttlefish soup,braised tofu in marinade sauce,stir-fried broccoli and nuts,radish kimchi cubes,S_steamed mandu (dumpling),S_milk (150ml),steamed millet rice,beef daikon soup,stir-fried tuna and vegetables,fried sweet pumpkin,napa cabbage kimchi
S_zucchini porridge,#N/A,steamed black rice,seaweed soy paste soup,stir-fried beef and onion,stir-fried baby anchovy,radish kimchi cubes,S_cream sauce spaghetti,#N/A,steamed white rice,tofu soup,stir-fried cuttlefish,deep-fried broccoli,radish kimchi cubes
