Breakfast1,Breakfast2,Breakfast3,Breakfast4,Breakfast5,Morning Snack1,Morning Snack2,Lunch1,Lunch2,Lunch3,Lunch4,Lunch5,Afternoon Snack1,Afternoon Snack2,Dinner1,Dinner2,Dinner3,Dinner4,Dinner5,Score
steamed sweet rice,clam seaweed soup,stir-fried zucchini and dried shrimp,seasoned winter mushroom,radish watery kimchi,S_soft tofu salad (oriental dressing),S_milk (100ml),stir-fried rice with smoked duck,miso paste soup,vegetables croquette,empty,radish kimchi cubes,S_steamed potato,S_homestyle banana milk,steamed red bean rice,tofu stew,stir-fried beef and bokchoy,seasoned salad with oyster mushroom,pickled beet,5
steamed chestnut bean rice,clam soy paste soup,seasoned salad with Korean melon and overripe cucumber,stir-fried dried shrimp and zucchini,radish watery kimchi,S_red bean porridge,S_Korean melon salad,curried rice with chicken and potato + marinade sauce,mandu (dumpling) soup,sedum and black sesame salad,seasoned winter mushroom,pickled beet,S_sweet potato shake,S_rice-based beverage,steamed millet rice (30),carrot soup,braised burdock slices and konjac,stir-fried jukkumi and vegetables in soy sauce,cucumber kimchi,2
steamed millet rice (30),mandu (dumpling) soup,stir-fried dried shrimp and zucchini,seasoned winter mushroom,radish watery kimchi,S_red bean porridge,S_rice-based beverage,curried rice with chicken and potato + marinade sauce,carrot soup,seasoned salad with Korean melon and overripe cucumber,sedum and black sesame salad,pickled beet,S_Korean melon salad,S_sweet potato shake,steamed chestnut bean rice,clam soy paste soup,stir-fried jukkumi and vegetables in soy sauce,braised burdock slices and konjac,cucumber kimchi,4
steamed rice,mandu (dumpling) soup,stir-fried dried shrimp and zucchini,seasoned winter mushroom,radish watery kimchi,S_sweet pumpkin porridge,S_milk (100ml),curried rice with chicken and potato + marinade sauce,daikon soy paste soup,sedum and black sesame salad,empty,pickled beet,S_Korean melon salad,S_milk (100ml),steamed red bean rice,zucchini soup,stir-fried jukkumi and vegetables in soy sauce,braised burdock slices,cucumber kimchi,5
Japanese beef rice bowl (gyudon),tofu stew,seasoned oyster mushroom,chicken salad (mustard sauce),seasoned salad with pickled daikon,S_potato salad,S_homestyle banana milk,steamed corn rice (30),mandu (dumpling) chicken stew,stir-fried zucchini and salted shrimp,seasoned salad with sweet potato stem in soy paste,pickled cucumber,S_sweet pumpkin rice punch,empty,steamed sweet rice,seaweed mandu (dumpling) soup,seasoned salad with spicy bean sprout,stir-fried zucchini,summer radish watery kimchi,1
steamed corn rice (30),seaweed mandu (dumpling) soup,stir-fried zucchini and salted shrimp,seasoned oyster mushroom,seasoned salad with pickled daikon,empty,S_sweet pumpkin rice punch,Japanese beef rice bowl (gyudon),tofu stew,chicken salad (mustard sauce),seasoned salad with spicy bean sprout,pickled cucumber,S_potato salad,S_homestyle banana milk,steamed sweet rice,mandu (dumpling) chicken stew,seasoned salad with sweet potato stem in soy paste,stir-fried zucchini,summer radish watery kimchi,3
steamed corn rice (30),mandu (dumpling) soup,stir-fried zucchini and salted shrimp,seasoned oyster mushroom,seasoned salad with pickled daikon,S_snow white rice cake,S_milk (150ml),mushroom rice bowl,tofu stew,chicken salad (mustard sauce),empty,pickled beet,S_potato salad,S_homestyle banana milk,steamed sweet rice,mild beef stew,grilled halibut,stir-fried zucchini,summer radish watery kimchi,5
steamed sweet potato rice (40),soft tofu stew,parboiled broccoli (perilla seed sauce),seasoned salad with winter cabbage,whole radish kimchi,S_grape juice,deluxe rice ball,steamed red bean sweet rice,perilla seed potato soup,fresh kimchi with winter cabbage,seasoned salad with smoked duck,radish kimchi cubes,S_soft tofu salad (oriental dressing),S_sweet potato shake,steamed black rice (add),tofu stew,stir-fried cabbage,empty,perilla leaf kimchi,2
steamed black rice (add),perilla seed potato soup,empty,stir-fried cabbage,radish kimchi cubes,S_soft tofu salad (oriental dressing),S_sweet potato shake,steamed red bean sweet rice,tofu stew,seasoned salad with smoked duck,parboiled broccoli (perilla seed sauce),whole radish kimchi,deluxe rice ball,S_grape juice,steamed sweet potato rice (40),soft tofu stew,fresh kimchi with winter cabbage,seasoned salad with winter cabbage,perilla leaf kimchi,3
steamed black rice (add),perilla seed potato soup,grilled dried corvina,stir-fried cabbage,radish kimchi cubes,S_soft tofu salad (oriental dressing),S_sweet potato shake,steamed red bean sweet rice,tofu stew,seasoned salad with smoked duck,parboiled broccoli (black sesame sauce),pickled beet,S_pumpkin porridge,S_grape juice,steamed red bean rice (40),clam soup,stir-fried chicken and paprika,seasoned salad with winter cabbage,radish watery kimchi,5
steamed white rice (add),mushroom stew,fried mandu (dumpling),stir-fried zucchini and dried shrimp,summer radish watery kimchi,S_homestyle banana milk,S_barley tea,steamed corn rice (30),zucchini soup,dried radish,seasoned salad with sweet potato stem in soy paste,radish watery kimchi,S_cream sauce spaghetti,S_potato salad,steamed sweet rice (add),clam seaweed soup,seasoned winter mushroom and chive,vegetables croquette,radish watery kimchi,1
steamed corn rice (30),zucchini soup,seasoned salad with sweet potato stem in soy paste,stir-fried zucchini and dried shrimp,summer radish watery kimchi,S_potato salad,S_homestyle banana milk,steamed sweet rice (add),clam seaweed soup,fried mandu (dumpling),dried radish,radish watery kimchi,S_cream sauce spaghetti,S_barley tea,steamed white rice (add),mushroom stew,vegetables croquette,seasoned winter mushroom and chive,radish watery kimchi,3
steamed corn rice (30),egg soup,seasoned salad with sweet potato stem in soy paste,stir-fried zucchini and dried shrimp,radish kimchi cubes,S_potato salad,S_homestyle banana milk,steamed sweet rice,clam seaweed soup,seasoned mandu (dumpling),seasoned salad with sedum in yuzu marinade,radish watery kimchi,S_cream sauce spaghetti,S_barley tea,steamed white rice (add),mushroom stew,pan-fried pollack,pigweed,pickled beet,5
steamed sweet rice (30),kimchi tofu soup,lotus root and black sesame salad,stir-fried tofu and vegetables in oyster sauce,pickled beet,S_tomato juice,S_milk (100ml),steamed mixed-grain rice,rice cake seaweed soup,stir-fried zucchini,seasoned salad with spicy bean sprout,spring onion kimchi,S_soft tofu salad (oriental dressing),S_beef burdock porridge,Bibimbap with barbequed beef and vegetables,zucchini tofu soy paste soup,seasoned salad with deodeok and apple,empty,sweet napa cabbage watery kimchi,1
steamed sweet rice (30),rice cake seaweed soup,empty,stir-fried zucchini,pickled beet,S_beef burdock porridge,S_tomato juice,Bibimbap with barbequed beef and vegetables,kimchi tofu soup,seasoned salad with deodeok and apple,lotus root and black sesame salad,spring onion kimchi,S_soft tofu salad (oriental dressing),S_milk (100ml),steamed mixed-grain rice,zucchini tofu soy paste soup,stir-fried tofu and vegetables in oyster sauce,seasoned salad with spicy bean sprout,sweet napa cabbage watery kimchi,2
steamed sweet rice (30),rice cake seaweed soup,steamed eggs with three-color vegetables,seasoned salad with dried radish,pickled beet,S_half-moon rice cake,S_tomato juice,Bibimbap with barbequed beef and vegetables,udon (white wheat noodles) soup without noodles,lotus root and black sesame salad,empty,radish kimchi cubes,S_soft tofu salad (oriental dressing),S_milk (100ml),steamed mixed-grain rice,freshwater snail soy paste soup,stir-fried tofu and vegetables in oyster sauce,seasoned salad with bean sprout,sweet napa cabbage watery kimchi,5
steamed mixed-grain rice (30),potato soup,stir-fried zucchini with bean powder,stir-fried sweet potato stem,summer radish watery kimchi,S_Korean melon salad,S_carrot soup,steamed sweet rice (add),Sujebi with perilla seeds,stir-fried chicken in soy paste without bones,stir-fried vegetables and Neobiani,radish kimchi cubes,S_rice-based beverage,S_homestyle blueberry banana milk,steamed red bean sweet rice,Sujebi with seaweed fulvescens,stir-fried jukkumi and vegetables in soy sauce,seasoned salad with winter cabbage,radish watery kimchi,2
steamed mixed-grain rice (30),potato soup,stir-fried chicken in soy paste without bones,stir-fried zucchini with bean powder,summer radish watery kimchi,S_carrot soup,S_rice-based beverage,steamed sweet rice (add),Sujebi with perilla seeds,stir-fried vegetables and Neobiani,seasoned salad with winter cabbage,radish kimchi cubes,S_Korean melon salad,S_homestyle blueberry banana milk,steamed red bean sweet rice,Sujebi with seaweed fulvescens,stir-fried jukkumi and vegetables in soy sauce,stir-fried sweet potato stem,radish watery kimchi,4
steamed mixed-grain rice (30),potato soup,stir-fried chicken in soy paste without bones,stir-fried zucchini with bean powder,summer radish watery kimchi,S_carrot soup,S_rice-based beverage,steamed sweet rice (add),soft tofu soup (mild flavor),stir-fried vegetables and Neobiani,seasoned salad with winter cabbage,radish kimchi cubes,S_Korean melon salad,S_homestyle blueberry banana milk,steamed red bean sweet rice,Sujebi with seaweed fulvescens,stir-fried jukkumi and vegetables in soy sauce,stir-fried sweet potato stem,radish watery kimchi,5
steamed chestnut bean rice,tofu clam soup,seasoned salad with oyster mushroom,braised chicken roll with vegetables,cucumber kimchi,S_scrambled eggs with vegetables,S_cheese soft crab porridge,curried rice with tofu,potato onion soup,dried radish,stir-fried zucchini,pickled beet,S_homestyle banana milk,S_misugaru (mixed grain powder),steamed sweet potato rice (30),zucchini tofu soy paste soup,seasoned salad with bean sprout in soy sauce,empty,pickled daikon,2
steamed sweet potato rice (30),tofu clam soup,seasoned salad with bean sprout in soy sauce,seasoned salad with oyster mushroom,cucumber kimchi,S_cheese soft crab porridge,S_misugaru (mixed grain powder),curried rice with tofu,potato onion soup,empty,dried radish,pickled beet,S_scrambled eggs with vegetables,S_homestyle banana milk,steamed chestnut bean rice,zucchini tofu soy paste soup,braised chicken roll with vegetables,stir-fried zucchini,pickled daikon,4
steamed rice (30),tofu clam soup,seasoned salad with bean sprout in soy sauce,seasoned oyster mushroom,radish kimchi cubes,S_half-moon rice cake,S_milk (100ml),curried rice,egg spring onion soup,mini-mandu (dumpling),dried radish,pickled beet,S_orange,S_homestyle banana milk,steamed chestnut bean rice,zucchini tofu soy paste soup,braised chicken roll with vegetables,seasoned green bean sprout and winter celery,sweet radish kimchi,5
steamed corn rice (30),oyster mushroom soup,steamed aubergine in marinade sauce,seasoned salad with spicy bean sprout,radish watery kimchi,S_sweet potato shake,S_soft tofu salad (oriental dressing),steamed sweet rice,mandu (dumpling) soup,stir-fried potato,spinach frittata,sweet radish kimchi,S_rice-based beverage,S_aglio e olio spaghetti,Japanese beef rice bowl (gyudon),seaweed mandu (dumpling) soup,seasoned oyster mushroom,braised tofu and dried shrimp,radish kimchi cubes,1
steamed corn rice (30),mandu (dumpling) soup,braised tofu and dried shrimp,steamed aubergine in marinade sauce,radish watery kimchi,S_soft tofu salad (oriental dressing),S_sweet potato shake,Japanese beef rice bowl (gyudon),oyster mushroom soup,spinach frittata,seasoned salad with spicy bean sprout,sweet radish kimchi,S_aglio e olio spaghetti,S_rice-based beverage,steamed sweet rice,seaweed mandu (dumpling) soup,stir-fried potato,seasoned oyster mushroom,radish kimchi cubes,4
steamed corn rice (30),mandu (dumpling) soup,braised tofu and dried shrimp,steamed aubergine in marinade sauce,radish watery kimchi,S_soft tofu salad (oriental dressing),S_sweet potato shake,barbequed beef rice bowl,oyster mushroom soup,parboiled cuttlefish and broccoli,empty,sweet radish kimchi,S_aglio e olio spaghetti,S_rice-based beverage,steamed sweet rice,seaweed soup,grilled corvina,stir-fried potato,radish kimchi cubes,5
Bibimbap with summer radish,assorted mushroom stew,seasoned salad with paprika in yuzu marinade,stir-fried dried shrimp and zucchini,pickled beet,S_homestyle blueberry milk,S_beef burdock porridge,steamed sweet rice (add),zucchini soup,stir-fried beef brisket and green bean sprout,seasoned salad with sweet potato stem in soy paste,pickled cucumber,S_tomato juice,S_raisin potato bowl,steamed red bean rice (30),oyster mushroom soup,seasoned salad with Korean melon and overripe cucumber,braised black beans and walnut,cucumber kimchi,1
steamed sweet rice (add),oyster mushroom soup,stir-fried dried shrimp and zucchini,seasoned salad with paprika in yuzu marinade,pickled beet,S_beef burdock porridge,S_tomato juice,Bibimbap with summer radish,zucchini soup,braised black beans and walnut,seasoned salad with Korean melon and overripe cucumber,pickled cucumber,S_raisin potato bowl,S_homestyle blueberry milk,steamed red bean rice (30),assorted mushroom stew,stir-fried beef brisket and green bean sprout,seasoned salad with sweet potato stem in soy paste,cucumber kimchi,3
steamed millet rice (40),napa cabbage soup,stir-fried dried shrimp and zucchini,seasoned salad with paprika in yuzu marinade,pickled beet,S_orange,S_black soybean milk (200ml),Bibimbap with summer radish,tofu soy paste stew,grilled mackerel,empty,radish watery kimchi,S_raisin potato bowl,S_homestyle blueberry milk,steamed red bean rice (40),assorted mushroom stew,stir-fried beef brisket and green bean sprout,daikon and seaweed salad,cucumber kimchi,5
steamed brown rice,clam soup,pan-fried potato and lotus root,seasoned mandu (dumpling),mustard leaf kimchi,S_rice-based beverage,S_milk (200ml),steamed millet rice (30),kimchi soup,stir-fried oyster mushroom and carrot,seasoned winter cabbage,radish kimchi cubes,S_soft tofu salad (oriental dressing),S_red bean porridge,stir-fried rice with perilla leaves,spicy zucchini soup,seasoned zucchini,stir-fried potato and fried fish paste,radish watery kimchi,1
steamed millet rice (30),clam soup,stir-fried potato and fried fish paste,seasoned winter cabbage,mustard leaf kimchi,S_red bean porridge,S_rice-based beverage,stir-fried rice with perilla leaves,spicy zucchini soup,seasoned mandu (dumpling),stir-fried oyster mushroom and carrot,radish kimchi cubes,S_soft tofu salad (oriental dressing),S_milk (200ml),steamed brown rice,kimchi soup,seasoned zucchini,pan-fried potato and lotus root,radish watery kimchi,3
steamed millet rice (30),clam soup,stir-fried vegetables and fried fish paste,seasoned winter cabbage,radish watery kimchi,S_red bean porridge,S_rice-based beverage,stir-fried rice with perilla leaves,zucchini soup,seasoned mandu (dumpling),empty,radish kimchi cubes,S_soft tofu salad (oriental dressing),S_milk (200ml),steamed brown rice,kimchi soup,braised beef and cabbage,pan-fried potato and lotus root,sweet radish kimchi,5
steamed red bean rice (30),crab soy paste soup,lotus root and black sesame salad,seasoned salad with chwinamul in soy paste,whole radish kimchi,S_misugaru (mixed grain powder),S_raisin potato bowl,stir-fried rice with broccoli and vegetables,assorted mushroom stew,seasoned oyster mushroom,stir-fried dried shrimp and zucchini,cucumber kimchi,S_beef burdock porridge,S_homestyle banana milk,steamed sweet rice (add),mandu (dumpling) soup,tofu tuna salad (yuzu dressing),stir-fried zucchini and dried shrimp,pickled beet,2
steamed sweet rice (add),crab soy paste soup,stir-fried dried shrimp and zucchini,seasoned salad with chwinamul in soy paste,whole radish kimchi,S_beef burdock porridge,S_misugaru (mixed grain powder),stir-fried rice with broccoli and vegetables,assorted mushroom stew,tofu tuna salad (yuzu dressing),seasoned oyster mushroom,cucumber kimchi,S_raisin potato bowl,S_homestyle banana milk,steamed red bean rice (30),mandu (dumpling) soup,stir-fried zucchini and dried shrimp,lotus root and black sesame salad,pickled beet,3
steamed sweet rice (add),crab soy paste soup,stir-fried dried shrimp and zucchini,seasoned spinach,radish kimchi cubes,S_fermented rice cake,S_misugaru (mixed grain powder),stir-fried rice with broccoli and vegetables,assorted mushroom stew,seasoned mandu (dumpling),S_Yakult,pickled beet,S_raisin potato bowl,S_homestyle banana milk,steamed red bean rice (30),napa cabbage soup with glass noodles,stir-fried pork,lettuce-wraps,radish watery kimchi,5
steamed millet rice (30),corn soup,seasoned winter mushroom and chive,seasoned salad with mini-Saesongyi mushroom,radish watery kimchi,S_Korean melon salad,S_homestyle blueberry banana milk,stir-fried rice with cuttlefish in oyster sauce,soft crab tofu soup,stir-fried zucchini and dried shrimp,vegetables croquette,whole radish kimchi,S_soy milk (150ml),S_red bean porridge,steamed sweet rice (add),zucchini tofu salted shrimp soup,roasted potato with butter,lotus root and black sesame salad,radish kimchi cubes,1
steamed millet rice (30),soft crab tofu soup,seasoned salad with mini-Saesongyi mushroom,seasoned winter mushroom and chive,radish watery kimchi,S_red bean porridge,S_soy milk (150ml),stir-fried rice with cuttlefish in oyster sauce,corn soup,lotus root and black sesame salad,vegetables croquette,whole radish kimchi,S_Korean melon salad,S_homestyle blueberry banana milk,steamed sweet rice (add),zucchini tofu salted shrimp soup,stir-fried zucchini and dried shrimp,roasted potato with butter,radish kimchi cubes,3
steamed millet rice (30),soft crab tofu soup,seasoned salad with mini-Saesongyi mushroom,lotus root and black sesame salad,radish kimchi cubes,S_red bean porridge,S_milk (150ml),stir-fried rice with cuttlefish in oyster sauce,daikon soup,seasoned salad with paprika in yuzu marinade,empty,pickled beet,S_Korean melon salad,S_homestyle blueberry banana milk,steamed sweet rice (add),zucchini soup,braised pork steak,roasted potato with butter,radish kimchi cubes,5
steamed red bean rice (30),assorted mushroom stew,seasoned salad with bellflower root,steamed fish and zucchini,radish watery kimchi,S_soft tofu salad (oriental dressing),S_rice-based beverage,steamed corn rice,mandu (dumpling) soup,braised black beans and walnut,seasoned salad with shepherd's purse,cucumber kimchi,S_sweet potato shake,empty,Japanese beef rice bowl (gyudon),clam curled mallow  soup,seasoned oyster mushroom,braised chicken in teriyaki sauce,pickled beet,1
steamed red bean rice (30),mandu (dumpling) soup,steamed fish and zucchini,seasoned oyster mushroom,radish watery kimchi,S_soft tofu salad (oriental dressing),S_sweet potato shake,Japanese beef rice bowl (gyudon),clam curled mallow  soup,braised black beans and walnut,seasoned salad with shepherd's purse,pickled beet,empty,S_rice-based beverage,steamed corn rice,assorted mushroom stew,braised chicken in teriyaki sauce,seasoned salad with bellflower root,cucumber kimchi,2
steamed red bean rice (30),pollack daikon soup,soft steamed tofu,seasoned oyster mushroom,radish watery kimchi,Dried?Persimmon,S_yoghurt (100ml),beef rice bowl with stir-fried vegetables,chive soup,sedum and black sesame salad,empty,pickled beet,S_apple,S_milk (100ml),steamed corn rice (30),assorted mushroom stew,braised chicken in teriyaki sauce,seasoned salad with cabbage in mayonnaise,radish kimchi cubes,5
stir-fried rice with beef in oyster sauce,kimchi tofu soup,stir-fried jukkumi and vegetables in soy sauce,cabbage salad (lemon dressing),sweet radish kimchi,S_homestyle banana milk,S_Korean melon salad,steamed chestnut bean rice (30),mini-udon (white wheat noodles) with soft crab,macaroni and vegetables salad (mayonnaise),pan-fried potato and lotus root,summer radish watery kimchi,S_Omija tea,S_sweet pumpkin cream risotto,steamed brown rice,rich soy paste soup,stir-fried potato and fried fish paste,fresh kimchi with spring parsley,radish kimchi cubes,1
steamed chestnut bean rice (30),kimchi tofu soup,stir-fried potato and fried fish paste,fresh kimchi with spring parsley,sweet radish kimchi,S_Korean melon salad,S_homestyle banana milk,stir-fried rice with beef in oyster sauce,mini-udon (white wheat noodles) with soft crab,macaroni and vegetables salad (mayonnaise),pan-fried potato and lotus root,radish kimchi cubes,S_sweet pumpkin cream risotto,S_Omija tea,steamed brown rice,rich soy paste soup,stir-fried jukkumi and vegetables in soy sauce,cabbage salad (lemon dressing),summer radish watery kimchi,4
steamed chestnut bean rice (30),kimchi tofu soup,stir-fried potato,fresh kimchi with spring parsley,sweet radish kimchi,S_Korean melon salad,S_black soybean milk (200ml),stir-fried rice with beef in oyster sauce,mini-udon (white wheat noodles) with soft crab,macaroni and vegetables salad (mayonnaise),empty,radish kimchi cubes,S_sweet pumpkin cream risotto,S_milk (100ml),steamed brown rice,rich soy paste soup,stir-fried jukkumi and vegetables in soy sauce,seasoned cabbage,summer radish watery kimchi,5
stir-fried rice with broccoli and vegetables,mandu (dumpling) soup,pan-fried beef and Maesaengyi,stir-fried chicken without bones,cucumber kimchi,S_homestyle banana milk,S_misugaru (mixed grain powder),steamed sweet rice (add),zucchini soup,stir-fried dried shrimp and zucchini,pan-fried vegetables with lotus root,summer radish watery kimchi,S_potato yoghurt salad,S_beef burdock porridge,steamed red bean rice (30),freshwater snail soy paste stew,steamed fish and zucchini,seasoned winter mushroom,white kimchi,1
steamed red bean rice (30),zucchini soup,steamed fish and zucchini,seasoned winter mushroom,cucumber kimchi,S_beef burdock porridge,S_misugaru (mixed grain powder),stir-fried rice with broccoli and vegetables,freshwater snail soy paste stew,stir-fried chicken without bones,pan-fried vegetables with lotus root,summer radish watery kimchi,S_potato yoghurt salad,S_homestyle banana milk,steamed sweet rice (add),mandu (dumpling) soup,pan-fried beef and Maesaengyi,stir-fried dried shrimp and zucchini,white kimchi,2
steamed red bean rice (30),egg spring onion soup,braised cod,seasoned winter mushroom,cucumber kimchi,S_Baram rice cake (with bean paste),S_orange juice,stir-fried rice with broccoli and vegetables,daikon soup,stir-fried chicken without bones,empty,summer radish watery kimchi,S_potato yoghurt salad,S_homestyle banana milk,steamed sweet rice (add),mandu (dumpling) soup,pan-fried beef and Maesaengyi,stir-fried dried shrimp and zucchini,white kimchi,5
steamed red bean sweet rice,assorted mushroom stew,seasoned oyster mushroom,rolled omelette with perilla leaves,whole radish kimchi,S_rice-based beverage,S_soft tofu salad (oriental dressing),steamed millet rice (30),oyster mushroom soup,steamed eggs with sweet pumpkin,fried mandu (dumpling),radish kimchi cubes,S_acorn jelly soup with rice,S_milk (100ml),steamed chestnut bean rice,red bean porridge,stir-fried zucchini and dried shrimp,stir-fried winter mushroom,pickled beet,1
steamed millet rice (30),red bean porridge,steamed eggs with sweet pumpkin,stir-fried winter mushroom,whole radish kimchi,S_soft tofu salad (oriental dressing),S_milk (100ml),steamed red bean sweet rice,oyster mushroom soup,fried mandu (dumpling),stir-fried zucchini and dried shrimp,radish kimchi cubes,S_acorn jelly soup with rice,S_rice-based beverage,steamed chestnut bean rice,assorted mushroom stew,rolled omelette with perilla leaves,seasoned oyster mushroom,pickled beet,3
steamed millet rice (40),green bean sprout soup,steamed eggs with sweet pumpkin,stir-fried winter mushroom,whole radish kimchi,S_soft tofu salad (oriental dressing),S_milk (100ml),steamed red bean sweet rice,shrimp tofu soup,chicken cutlet,seasoned salad with broccoli in black sesame sauce,radish kimchi cubes,S_acorn jelly soup with rice,S_sweet pumpkin rice punch,steamed chestnut bean rice,daikon soy paste soup,rolled omelette with perilla leaves,seasoned oyster mushroom,pickled beet,5
steamed red bean rice (30),mushroom chive soup,stir-fried spicy jukkumi,braised pollack,radish watery kimchi,S_beef burdock porridge,S_sweet pumpkin rice punch,steamed sweet rice (add),Pyogo mushroom soup,seasoned salad with deodeok and apple,steamed fish and zucchini,radish watery kimchi,S_raisin potato bowl,S_sweet potato shake,paprika rice ball with fried tofu,mandu (dumpling) soup,sweet potato mash with nuts,seasoned salad with spicy bean sprout,summer radish watery kimchi,1
steamed red bean rice (30),mushroom chive soup,steamed fish and zucchini,seasoned salad with spicy bean sprout,radish watery kimchi,S_beef burdock porridge,S_sweet pumpkin rice punch,paprika rice ball with fried tofu,mandu (dumpling) soup,stir-fried spicy jukkumi,sweet potato mash with nuts,radish watery kimchi,S_raisin potato bowl,S_sweet potato shake,steamed sweet rice (add),Pyogo mushroom soup,braised pollack,seasoned salad with deodeok and apple,summer radish watery kimchi,2
steamed red bean rice (30),zucchini soup,grilled halibut,seasoned salad with bean sprout,radish kimchi cubes,S_snow white rice cake,S_orange juice,paprika rice ball with fried tofu,mandu (dumpling) soup,sweet potato salad,empty,radish watery kimchi,S_raisin potato bowl,S_homestyle blueberry milk,steamed sweet rice (add),Pyogo mushroom soup,braised chicken drumsticks and beef in soy sauce,seasoned salad with daikon and apple,summer radish watery kimchi,5
steamed red bean sweet rice,bean sprout soup,fresh kimchi with winter cabbage,braised nuts,whole radish kimchi,S_milk with misugaru (mixed grain powder),S_soft tofu salad (oriental dressing),steamed chestnut bean rice,bean sprout soup,pan-fried potato and chive,stir-fried chicken tenderloin and apple,summer radish kimchi,S_red bean porridge,S_rice-based beverage,steamed chestnut bean rice (40),potato zucchini soup,braised konjac and quail eggs,stir-fried cucumber,radish kimchi cubes,2
steamed chestnut bean rice (40),bean sprout soup,braised konjac and quail eggs,braised nuts,whole radish kimchi,S_red bean porridge,S_rice-based beverage,steamed red bean sweet rice,potato zucchini soup,stir-fried chicken tenderloin and apple,fresh kimchi with winter cabbage,summer radish kimchi,S_soft tofu salad (oriental dressing),S_milk with misugaru (mixed grain powder),steamed chestnut bean rice,bean sprout soup,stir-fried cucumber,pan-fried potato and chive,radish kimchi cubes,4
steamed chestnut bean rice (40),bean sprout soup,braised konjac and quail eggs,lotus root and black sesame salad,whole radish kimchi,S_red bean porridge,S_rice-based beverage,steamed red bean sweet rice,zucchini soup,stir-fried chicken tenderloin and apple,fresh kimchi with winter cabbage,summer radish kimchi,S_soft tofu salad (oriental dressing),S_milk with misugaru (mixed grain powder),steamed chestnut bean rice,pork bone soup,seasoned spring cabbage,pan-fried potato and chive,radish kimchi cubes,5
steamed white bean rice,tofu clam soup,stir-fried Pyogo mushroom in soy sauce,stir-fried spicy jukkumi,summer radish watery kimchi,S_beef burdock porridge,S_raisin potato bowl,chilled bean soup + noodles,short rib beef soup + glass noodles,(chilli powder-free) braised mackerel,deep-fried onion ring,pickled daikon,S_Yakult,S_sweet pumpkin rice punch,steamed sweet potato rice (30),rice cake seaweed soup,seasoned salad with bellflower root,empty,pickled beet,3
steamed white bean rice,tofu clam soup,(chilli powder-free) braised mackerel,seasoned salad with bellflower root,summer radish watery kimchi,S_beef burdock porridge,S_Yakult,steamed sweet potato rice (30),short rib beef soup + glass noodles,stir-fried Pyogo mushroom in soy sauce,deep-fried onion ring,pickled daikon,S_raisin potato bowl,S_sweet pumpkin rice punch,chilled bean soup + noodles,rice cake seaweed soup,stir-fried spicy jukkumi,empty,pickled beet,4
steamed white bean rice,tofu clam soup,rolled omelette with tuna,seasoned salad with sedum and cucumber,summer radish watery kimchi,S_banana,S_Yakult,steamed sweet potato rice (30),short rib beef soup + glass noodles,seasoned salad with acorn jelly,deep-fried onion ring,radish kimchi cubes,S_raisin potato bowl,S_milk (100ml),steamed rice,seaweed soup,(chilli powder-free) braised mackerel,seasoned sweet napa cabbage,pickled beet,5
steamed red bean sweet rice,tofu soy paste soup,macaroni and vegetables salad (mayonnaise),stir-fried broccoli and vegetables,whole radish kimchi,S_soft tofu salad (oriental dressing),S_jujube milk soup,steamed brown rice,curled mallow soy paste soup,fresh kimchi with spring parsley,dried radish,radish kimchi cubes,S_rice-based beverage,S_milk (200ml),steamed red bean rice (30),tofu persimmon pine nut soup,scrambled eggs,chicken salad (mustard sauce),sweet radish kimchi,3
steamed red bean rice (30),tofu soy paste soup,scrambled eggs,dried radish,whole radish kimchi,S_jujube milk soup,S_rice-based beverage,steamed brown rice,tofu persimmon pine nut soup,chicken salad (mustard sauce),fresh kimchi with spring parsley,radish kimchi cubes,S_soft tofu salad (oriental dressing),S_milk (200ml),steamed red bean sweet rice,curled mallow soy paste soup,macaroni and vegetables salad (mayonnaise),stir-fried broccoli and vegetables,sweet radish kimchi,4
steamed red bean rice (40),tofu soy paste soup,scrambled eggs,dried radish,radish watery kimchi,S_jujube milk soup,S_rice-based beverage,stir-fried rice with kimchi and ham,potato onion soup,chicken salad (mustard sauce),empty,radish kimchi cubes,S_orange,S_milk (200ml),steamed red bean sweet rice,oyster mushroom soup,braised halibut,stir-fried broccoli and vegetables,sweet radish kimchi,5
steamed sweet rice (add),mandu (dumpling) soup,stir-fried spicy jukkumi,stir-fried zucchini,summer radish watery kimchi,S_milk (100ml),S_sweet pumpkin rice punch,steamed sweet potato rice (30),Pyogo mushroom soup,pickled daikon,braised pollack,pickled beet,S_sweet pumpkin salad (mayonnaise),S_Sujebi,paprika rice ball with fried tofu,zucchini tofu salted shrimp soup,stir-fried rice with shrimp,stir-fried shrimp and vegetables,pickled daikon,2
steamed sweet potato rice (30),zucchini tofu salted shrimp soup,stir-fried rice with shrimp,seasoned salad with deodeok and apple,summer radish watery kimchi,S_sweet pumpkin salad (mayonnaise),S_milk (100ml),paprika rice ball with fried tofu,mandu (dumpling) soup,braised pollack,stir-fried zucchini,pickled beet,S_Sujebi,S_sweet pumpkin rice punch,steamed sweet rice (add),Pyogo mushroom soup,stir-fried spicy jukkumi,stir-fried shrimp and vegetables,pickled daikon,3
