kor_name,eng_name
양송이된장국,Yangsongyi mushroom soy paste soup
양배추된장국,cabbage soy paste soup
양송이스프,Yangsongyi mushroom soup
양배추백짬뽕국,cabbage mild seafood noodle soup
양지곰국,beef bone soup
양파당면국,onion soup with glass noodles
양파오징엇국,onion cuttlefish soup
양파챗국,onion soup
안매운부대찌개,mild sausage stew
어린이부대찌개,sausage stew for kids
어묵감자국,fried fish paste potato soup
볼어묵국,fried fish paste soup
꼬치어묵국,spicy fried fish paste soup
매콤어묵국,spicy fried fish paste soup
어묵국,fried fish paste soup
어묵국수,noodles in fried fish paste soup
어묵맑은국,fried fish paste soup
어탕국수,noodles in fish soup
얼갈이배추국,winter cabbage soup
얼갈이된장국,winter cabbage soy paste soup
얼갈이들깨국,winter cabbage perilla seed soup
얼갈이맑은국,winter cabbage soup
옥수수스프,corn soup
게살스프,soft crab soup
연두부게살스프,soft crab tofu soup
연두부계란탕,soft tofu egg soup
연두부된장찌개,soft tofu soy paste stew
두부맑은국,tofu soup
연두부맑은국,soft tofu soup
연두부새우젓국,soft tofu salted shrimp soup
연두부새우탕,soft tofu shrimp soup
연두부청경채새우탕,soft tofu bokchoy shrimp soup
연두부탕,soft tofu soup
열무된장국,summer radish soy paste soup
열무맑은국,summer radish soup
오뎅무국,fried fish paste daikon soup
오이냉국,cold cucumber soup
오징어감잣국,cuttlefish persimmon pine nut soup
오징엇국,cuttlefish soup
오징어국,cuttlefish soup
오징어맑은국,cuttlefish soup
잘게썬오징어뭇국,thin-sliced cuttlefish daikon soup
오징어무국,cuttlefish daikon soup
오징어숙주국,cuttlefish green bean sprout soup
오징어찌개,cuttlefish stew
도토리묵냉국,chilled acorn jelly soup
온도토리묵국,acorn jelly soup
미니메밀국수,mini-chilled buckwheat noodles
온청포묵국,mung bean jelly soup
완자탕,meat dumpling soup
왕만굿국,king-mandu (dumpling) soup
쇠고기우거지국,beef dried cabbage leaf soup
우거지국,dried cabbage leaf soup
우거지된장,dried cabbage leaf soy paste soup
우거지된장국,dried cabbage leaf soy paste soup
우거지맑은국,dried cabbage leaf soup
우동국물,udon (white wheat noodles) soup without noodles
우동면국,udon (white wheat noodles) soup with noodles
우육미역국,beef seaweed soup
유부김칫국,fried tofu kimchi soup
유부대파국,fried tofu spring onion soup
유부된장국,fried tofu soy paste soup
유부맑은국,fried tofu soup
유부배춧국,fried tofu napa cabbage soup
유부새우젓국,fried tofu salted shrimp soup
유부실파국,fried tofu spring onion  soup
유부쑥갓맑은국,fried tofu crown daisy soup
유부양팟국,fried tofu onion soup
미니유부우동,mini-udon (white wheat noodles) with fried tofu
유부장국,fried tofu soy paste soup
유부팽이국,fried tofu winter mushroom soup
유채된장국,canola soy paste soup
육개장,beef stew
으깬두부된장국,crushed tofu soy paste soup
재첩국,shellfish soup
부추재첩국,chive shellfish soup
조갯살된장국,clam soy paste soup
조갯살맑은국,clam soup
조갯살부추국,clam chive soup
조갯살부추맑은국,clam chive soup
조갯살순두부맑은국,clam soft tofu soup
조갯살시래기국,clam dried radish leaf soup
조갯살아욱국,clam curled mallow  soup
조갯살연두부장국,clam soft tofu soy paste soup
떡국,rice cake soup
조랭이떡국,mini-ball rice cake soup
떡국떡미역국,rice cake seaweed soup
조랭이떡미역국,mini-ball rice cake seaweed soup
조랭이미역국,mini-ball rice cake seaweed soup
쪽파무챗국,spring onion daikon soup
쇠고기된장국,beef soy paste soup
차돌박이된장국,beef brisket soy paste soup
차돌박이된장찌개,beef brisket soy paste stew
차돌버섯찌개,beef brisket mushroom stew
차돌순두부백탕,beef brisket soft tofu soup
차돌얼갈이국,beef brisket winter cabbage soup
참나물된장국,spring parsley soy paste soup
참외미역냉국,cold Korean melon seaweed soup
안매운참치찌개,tuna stew
참치김치찌개,tuna kimchi stew
참치김칫국,tuna kimchi soup
참치두부찌개,tuna tofu stew
참치무국,tuna daikon soup
참치미역국,tuna seaweed soup
참치배춧국,tuna napa cabbage soup
참치추어탕,tuna loach soup
찹쌀옹심이국,sweet rice dough soup
채소스프,veggie soup
청경채된장국,bokchoy soy paste soup
청경채맑은국,bokchoy soup
청국장국,rich soy paste soup
청국장찌개,rich soy paste stew
추어탕,loach soup
콩가루냉이된장국,bean powder shepherd's purse soy paste soup
콩가루무채국,bean powder daikon soup
콩가루배추국,bean powder napa cabbage soup
콩가루배춧국,bean powder napa cabbage soup
콩가루봄동국,bean powder spring cabbage soup
콩가루시금치국,bean powder spinach  soup
콩가루시래기국,bean powder dried radish leaves soup
콩가루쑥국,bean powder mugwort  soup
콩가루열무된장국,bean powder summer radish soy paste soup
콩나물국,bean sprout soup
콩나물김칫국,bean sprout kimchi soup
콩나물냉국,cold bean sprout soup
콩나물된장국,bean sprout soy paste soup
콩나물맑은국,bean sprout soup
콩나물무국,bean sprout daikon soup
콩나물북어국,bean sprout dried pollack soup
콩나물어묵국,bean sprout fried fish paste soup
콩나물어묵탕,bean sprout fried fish paste soup
콩나물육개장,bean sprout beef stew
콩비지맑은국,soy puree soup
팥죽,red bean porridge
안매운콩비지찌개,mild soy puree stew
콩비지찌개,soy puree stew
크림스프,cream soup
탕국,soup
토란국,taro soup
토마토감잣국,tomato persimmon pine nut soup
팽이미소국,winter mushroom miso paste soup
표고버섯탕,Pyogo mushroom soup
팽이버섯달걀탕,winter mushroom egg soup
팽이버섯계란탕,winter mushroom egg soup
팽이버섯달걀국,winter mushroom egg soup
팽이버섯맑은국,winter mushroom soup
팽이버섯된장국,winter mushroom soy paste soup
팽이버섯미역된장국,winter mushroom seaweed soy paste soup
팽이장국,winter mushroom soy paste soup
미니해물칼국수,mini-seafood noodle soup
해물탕,seafood soup
호박감자수제비국,Sujebi with zucchini and potato
호박국,zucchini soup
호박맑은국,zucchini soup
호박양파국,zucchini onion soup
호박잎된장국,zucchini leaf soy paste soup
호박칼제비국,zucchini noodle soup
홍합무국,mussel daikon soup
조갯살미역국,clam seaweed soup
홍합미역국,mussel seaweed soup
홍합살맑은국,mussel soup
홍합살미역국,mussel seaweed soup
황탯국,dried pollack soup
황태국,dried pollack soup
황태김칫국,dried pollack kimchi soup
황태미역국,dried pollack seaweed soup
황태애호박국,dried pollack zucchini  soup
황태채맑은국,dried pollack soup
황태콩나물국,dried pollack bean sprout soup
비빔만두,seasoned mandu (dumpling)
너비아니샐러드,Neobiani salad
들깨오이무침,seasoned salad with perilla seeds and cucumber
새우살들깨무침,seasoned salad with perilla seeds and shrimp
새우살채소깨무침,seasoned salad with shrimp sesame and vegetables
쇠고기김무침,seasoned salad with beef and salted seaweed
브로콜리오징어무침,seasoned salad with broccoli and cuttlefish
오징어무침,seasoned salad with cuttlefish
떡탕평채,rice cake soup with mung bean jelly
오색묵무침,seasoned salad with five-color acorn jelly
탕평채무침,seasoned salad with mung bean jelly
닭고기냉채,seasoned salad with cold chicken
훈제오리무침,seasoned salad with smoked duck
훈제오리냉채,seasoned salad with cold smoked duck
닭가슴살부추무침,seasoned salad with chicken and chive
닭가슴살사과무침,seasoned salad with chicken and apple
가지나물,seasoned herbs with aubergine
가지들깨나물,seasoned herbs with aubergine and perilla seed
감자샐러드,potato salad
견과류고구마범벅,sweet potato mash with nuts
고구마범벅,sweet potato mash
고구마샐러드,sweet potato salad
고구마순나물,sweet potato stem with herbs
고사리들깨나물,seasoned bracken and perilla seed
고사리들깨볶음,stir-fried bracken with perilla seeds
고사리나물,bracken
과일샐러드(요거트드레싱),_fruit salad (yoghurt dressing)
요거트과일샐러드,yoghurt fruit salad
요거트과일범벅,yoghurt fruit mix
과일샐러드,fruit salad
수박샐러드,watermelon salad
그린샐러드,green salad
열무된장무침,seasoned salad with summer radish in soy paste
열무나물,summer radish
두부열무나물,tofu with summer radish
근대나물무침,seasoned salad with chard
근대나물된장무침,seasoned salad with chard in soy paste
근대나물,seasoned chard
깻잎지,perilla leaf in soy sauce
깻잎순나물,perilla leaf
깻잎나물,seasoned perilla leaf
잔파느타리버섯강회,spring onion and oyster mushroom ties
느타리버섯나물,seasoned oyster mushroom
느타리버섯무침,seasoned salad with oyster mushroom
느타리버섯김무침,seasoned salad with oyster mushroom and salted seaweed
다시마채무침,seasoned salad with seaweed slices
단배추된장무침,seasoned salad with sweet napa cabbage in soy paste
단배추나물,seasoned sweet napa cabbage
배추나물,seasoned napa cabbage
단호박견과류샐러드,sweet pumpkin nuts salad
단호박샐러드,sweet pumpkin salad
도라지나물,seasoned bellflower root
상추묵무침,seasoned salad with lettuce and acorn jelly
도토리묵상추무침,seasoned salad with lettuce and acorn jelly
도토리묵채소무침,seasoned salad with acorn jelly and vegetables
도토리묵무침,seasoned salad with acorn jelly
도토리묵김무침,seasoned salad with acorn jelly and salted seaweed
냉이무침,seasoned salad with shepherd's purse
상추쑥갓무침,seasoned salad with lettuce and crown daisy
상추부추무침,seasoned salad with chive and crown daisy
돌나물부추무침,seasoned salad with sedum and chive
돌나물오이무침,seasoned salad with sedum and cucumber
돌나물유자청무침,seasoned salad with sedum in yuzu marinade
동초무침,seasoned salad with winter herbs
세발나물초무침,seasoned salad with sea spurrey in vinegar paste
겨울초된장무침,seasoned salad with winter herbs in soy paste
마카로니샐러드,macaroni salad
마카로니오이샐러드,macaroni cucumber salad
모둠쌈,assorted lettuce-wraps
표고버섯무나물,seasoned daikon and Pyogo mushroom
들깨무나물,seasoned daikon and perilla seed
무나물,seasoned daikon
무미역생채,daikon and seaweed salad
진미채무말랭이무침,seasoned salad with dried cuttlefish and dried radish
무말랭이무침,seasoned salad with dried radish
무몰무침,seasoned salad with dried radish
배무생채,daikon and pear salad
미나리무생채,daikon and winter celery salad
무생채,daikon salad
무초절임,pickled daikon
매콤숙주미나리무침,seasoned salad with spicy green bean sprout and winter celery
미나리숙주나물,seasoned green bean sprout and winter celery
미니새송이버섯무침,seasoned salad with mini-Saesongyi mushroom
오이미역초무침,seasoned salad with cucumber and seaweed in vinegar marinade
물미역무초무침,seasoned salad with seaweed in vinegar marinade
미역초무침,seasoned salad with seaweed in vinegar marinade
미역매실청무침,seasoned salad with seaweed in green plum marinade
미역나물,seasoned seaweed
봄동된장나물,spring cabbage in soy sauce
콩나물파채겉절이,fresh kimchi with bean sprout and sliced spring onion
파채겉절이,fresh kimchi with sliced spring onion
봄동부추겉절이,fresh kimchi with spring cabbage and chive
부추무침,fresh kimchi with chive
부추겉절이,fresh kimchi with chive
부추배무침,seasoned salad with chive and pear
무사과무침,seasoned salad with daikon and apple
오이사과무침,seasoned salad with cucumber and apple
봄동무침,seasoned salad with spring cabbage
토마토치커리무침,seasoned salad with tomato and chicory
오이치커리무침,seasoned salad with cucumber and chicory
미나리사과무침,seasoned salad with winter celery and apple
치커리사과무침,seasoned salad with chicory and apple
치커리부추무침,seasoned salad with chicory and chive
(고춧가루제외)부추사과무침,(chilli powder-free) seasoned salad with chive and apple
부추사과무침,seasoned salad with chive and apple
부추양파생채,chive and onion salad
브로콜리참깨무침,seasoned salad with broccoli and sesame
브로콜리깨소스무침,seasoned salad with broccoli in sesame sauce
브로콜리초고추장무침,seasoned salad with broccoli in red chilli paste with vinegar
브로콜리나물,seasoned broccoli
브로콜리된장무침,seasoned salad with broccoli in soy paste
브로콜리두부무침,seasoned salad with broccoli and tofu
브로콜리애느타리무침,seasoned salad with broccoli and oyster mushroom
브로콜리무침,seasoned salad with broccoli
브로콜리새우깨무침,seasoned salad with broccoli shrimp and sesame
브로콜리생채,broccoli salad
브로콜리초무침,seasoned salad with broccoli in vinegar marinade
오이무생채,cucumber and daikon salad
비트무생채,beet and daikon salad
쌈채소+쌈장,lettuce-wraps + soy red chilli paste
쌈채소,lettuce-wraps
사과연근샐러드,apple and lotus root salad
사과참외샐러드,apple and Korean melon salad
사과미나리무침,seasoned salad with apple and winter celery
사과치커리무침,seasoned salad with apple and chicory
삼색나물,seasoned three-color herbs
삼색초무침,seasoned salad with three-color herbs
모듬야채겉절이,fresh kimchi with assorted vegetables
(고춧가루제외)상추겉절이,(chilli powder-free) fresh kimchi with lettuce
상추겉절이,fresh kimchi with lettuce
상추달래겉절이,fresh kimchi with lettuce and wild chive
상추사과초무침,seasoned salad with lettuce and apple in vinegar marinade
상추사과무침,seasoned salad with lettuce and apple
상추무생채,lettuce and daikon salad
상추+쌈장,lettuce-wraps + soy red chilli paste
상추쌈+쌈장,lettuce-wraps + soy red chilli paste
상추쌈,lettuce-wraps
오이유자청무침,seasoned salad with cucumber in yuzu marinade
상추유자청무침,seasoned salad with lettuce in yuzu marinade
상추초무침,seasoned salad with lettuce in vinegar marinade
새송이버섯나물,seasoned Saesongyi mushroom
새싹채소샐러드(오리엔탈드레싱),sprout salad (oriental dressing)
새싹채소샐러드,sprout salad
파래무채무침,seasoned salad with sea lettuce and sliced daikon
세발나물무침,seasoned salad with sea spurrey
세발나물된장무침,seasoned salad with sea spurrey in soy paste
세발나물,sea spurrey
숙주나물,seasoned green bean sprout
숙주당근나물,seasoned green bean sprout and carrot
실파김무침,seasoned salad with spring onion and salted seaweed
견과류시금치무침,seasoned salad with nuts and spinach
시금치김무침,seasoned salad with spinach and salted seaweed
비름나물,pigweed
냉이나물,seasoned shepherd's purse
곤드레나물,seasoned thistle
고춧잎나물,sensoned red-pepper leaf
시금치나물,seasoned spinach
실곤약간장채소무침,seasoned salad with thred konjac and vegetables in soy sauce
실곤약채소무침,seasoned salad with thred konjac and vegetables
곤약김치무침,seasoned salad with konjac and kimchi
미역무침,seasoned salad with seaweed
두부들깨무침,seasoned salad with perilla seed
쑥갓들깨무침,seasoned salad with crown daisy and perilla seed
쑥갓팽이버섯나물,seasoned crown daisy and winter mushroom
쑥갓무침,seasoned salad with crown daisy
쑥갓나물,seasoned crown daisy
고춧잎된장무침,seasoned salad with red-pepper leaf in soy paste
아욱된장무침,seasoned salad with curled mallow in soy paste
애호박나물,seasoned zucchini
양배추나물,seasoned cabbage
오이쌈장무침,seasoned salad with cucumber in soy red chilli paste
양배추쌈장무침,seasoned salad with cabbage in soy red chilli paste
양배추무침,seasoned salad with cabbage
양배추마요무침,seasoned salad with cabbage in mayonnaise
양배추샐러드,cabbage salad
유자청두부샐러드,tofu salad in yuzu marinade
양배추유자청샐러드,cabbage salad in yuzu marinade
양배추콘샐러드,cabbage corn salad
사과샐러드,apple salad
사과샐러드(마요네즈),apple salad (mayonnaise)
양상추사과샐러드,lettuce apple salad
양배추사과샐러드,cabbage apple salad
돌나물과일샐러드,sedum fruit salad
양상추과일샐러드,lettuce fruit salad
양상추샐러드,lettuce salad
양상추유자청샐러드,lettuce salad in yuzu marinade
양배추유자청무침,seasoned salad with cabbage in yuzu marinade
양상추유자청무침,seasoned salad with lettuce in yuzu marinade
얼갈이나물,seasoned winter cabbage
얼갈이무침,seasoned salad with winter cabbage
양배추된장나물,seasoned cabbage in soy paste
얼갈이된장나물,seasoned winter cabbage in soy paste
열무들깨무침,seasoned salad with summer radish and perilla seed
연근들깨무침,seasoned salad with lotus root and perilla seed
연근유자청무침,seasoned salad with lotus root in yuzu marinade
연근흑임자샐러드,lotus root and black sesame salad
영양부추겉절이,deluxe fresh kimchi with chive
노각나물,seasoned overripe cucumber
참외나물,seasoned Korean melon
오이나물,seasoned cucumber
노각무침,seasoned salad with overripe cucumber
오이당근무침,seasoned salad with cucumber and carrot
오이달래무침,seasoned salad with cucumber and wild chive
오이양배추무침,seasoned salad with cucumber and cabbage
오이부추무침,seasoned salad with cucumber and chive
매콤숙주오이무침,seasoned salad with spicy green bean sprout and cucumber
청경채도토리묵무침,seasoned salad with bokchoy and acorn jelly
오이청경채무침,seasoned salad with cucumber and bokchoy
오이소박이,cucumber kimchi
오이무침,seasoned salad with cucumber
사과상추무침,seasoned salad with apple and lettuce
사과상추겉절이,fresh kimchi with apple and lettuce
상추배생채,lettuce and pear salad
치커리배무침,seasoned salad with chicory and pear
배오이생채,pear and cucumber salad
오이생채,cucumber salad
오이파프리카무침,seasoned salad with cucumber and paprika
오징어실채무침,seasoned salad with cuttlefish thin slices
오징어채무침,seasoned salad with cuttlefish slices
유채나물된장무침,seasoned salad with canola in soy paste
유채나물무침,seasoned salad with canola
유채나물,seasoned canola
일미무침,deluxe seasoned salad
자두샐러드,plum salad
쥐포무침,seasoned salad with dried filefish
진미채무침,seasoned salad with dried cuttlefish
참나물배겉절이,fresh kimchi with spring parsley and pear
치커리겉절이,fresh kimchi with chicory
참나물겉절이,fresh kimchi with spring parsley
참나물들깨무침,seasoned salad with spring parsley and perilla seed
참나물무침,seasoned salad with spring parsley
참나물토마토샐러드,spring parsley and tomato salad
참나물된장무침,seasoned salad with spring parsley in soy paste
참나물유자청무침,seasoned salad with spring parsley in yuzu marinade
오이스틱,cucumber stick
당근스틱,carrot stick
고구마스틱,sweet potato stick
파프리카스틱,paprika stick
청경채된장무침,seasoned salad with bokchoy in soy paste
청경채나물,seasoned bokchoy
청경채무침,seasoned salad with bokchoy
콜라비사과무침,seasoned salad with kohlrabi and apple
청경채사과무침,seasoned salad with bokchoy and apple
김가루부추무침,seasoned salad with chive and seaweed flakes
청포묵김가루무침,seasoned salad with mung bean jelly and seaweed flakes
청포묵김무침,seasoned salad with mung bean jelly and salted seaweed
청포묵무침,seasoned salad with mung bean jelly
취나물들깨무침,seasoned salad with chwinamul and perilla seed
취나물된장무침,seasoned salad with chwinamul in soy paste
취나물무침,seasoned salad with chwinamul
시래기볶음나물,stir-fried dried radish leaves
치커리무침,seasoned salad with chicory
코울슬로,coleslaw
파인콘샐러드,pineapple corn salad
채소샐러드,vegetables salad
콘채소샐러드,vegetables corn salad
콘샐러드,corn salad
매콤콩나물무침,seasoned salad with spicy bean sprout
토마토어린잎샐러드,tomato and sprout salad
토마토샐러드,tomato salad
토마토채소샐러드,tomato and vegetables salad
토마토범벅,tomato mash
톳나물무침,seasoned salad with hijiki
파프리카쌈장무침,seasoned salad with paprika in soy red chilli paste
파프리카무침,seasoned salad with paprika
파프리카유자청무침,seasoned salad with paprika in yuzu marinade
파프리카초무침,seasoned salad with paprika in vinegar marinade
팽이버섯무침,seasoned salad with winter mushroom
팽이버섯나물,seasoned winter mushroom
부추나물,seasoned chive
팽이버섯부추나물,seasoned winter mushroom and chive
푸실리샐러드,Fusilli salad
푸실리샐러드(토마토소스),Fusilli salad (tomato sauce)
호박고지나물,seasoned zucchini
호박나물,seasoned zucchini
콩나물냉채,bean sprout and mung bean jelly salad
양배추된장무침,seasoned salad with cabbage in soy paste
오이깍둑무침,seasoned salad with cucumber kimchi cubes
콩나물간장무침,seasoned salad with bean sprout in soy sauce
숙주김가루무침,seasoned salad with green bean sprout and salted seaweed powder
숙주나물무침,seasoned salad with green bean sprout
숙수초무침,seasoned salad with green bean sprout in vinegar marinade
모듬과일샐러드,assorted fruit salad
무채무침,seasoned salad with sliced daikon
청경채느타리무침,seasoned salad with bokchoy and oyster mushroom
상추무침,seasoned salad with lettuce
건파래무침,seasoned salad with dried sea lettuce
진미채채소무침,seasoned salad with dried cuttlefish and vegetables
생취나물무침,seasoned salad with chwinamul
비름나물무침,seasoned salad with pigweed
비름나물된장무침,seasoned salad with pigweed in soy paste
깻잎나물무침,seasoned salad with perilla leaves
배추겉절이,fresh kimchi with napa cabbage
가지나물무침,seasoned salad with aubergine
오이샐러드,cucumber salad
양배추오이샐러드,cabbage and cucumber salad
김가루무침,seasoned salad with seaweed flakes
도라지무침,seasoned salad with bellflower root
도라지오이무침,seasoned salad with bellflower root and cucumber
도라지나물무침,seasoned salad with bellflower root
쫄면무침,seasoned salad with spicy chewy noodles
달래무침,seasoned salad with wild chive
감자건포도샐러드,potato raisin salad
과일땅콩샐러드,fruit peanut salad
가지구이무침,seasoned salad with grilled aubergine
구운가지무침,seasoned salad with grilled aubergine
근대무침,seasoned salad with chard
배추된장무침,seasoned salad with napa cabbage in soy paste
더덕사과무침,seasoned salad with deodeok and apple
돌나물무침,seasoned salad with sedum
돌나물초무침,seasoned salad with sedum in vinegar marinade
마늘쫑무침,seasoned salad with garlic stem
무말랭이,dried radish
무미역무침,seasoned salad with daikon and seaweed
미나리무침,seasoned salad with winter celery
미나리초무침,seasoned salad with winter celery in vinegar marinade
얼갈이배추겉절이,fresh kimchi with winter cabbage
부추양파겉절이,fresh kimchi with chive and onion
오이양파무침,seasoned salad with cucumber and onion
부추양파무침,seasoned salad with chive and onion
브로컬리초무침,seasoned salad with broccoli in vinegar marinade
연근사과샐러드,lotus root and apple salad
삼색나물2,three-color herbs 2
숙주미나리나물,seasoned green bean sprout and winter celery
미나리나물,seasoned winter celery
쑥갓나물무침,seasoned salad with crown daisy
양배추오이무침,seasoned salad with cabbage and cucumber
양상추요거트샐러드,lettuce yoghurt salad
오이뱃두리,cucumber pot
오이부추생채,cucumber chive salad
진미채초무침,seasoned salad with dried cuttlefish in vinegar marinade
참나물간장무침,seasoned salad with spring parsley in soy sauce
청경채초무침,seasoned salad with bokchoy in vinegar marinade
콩나물미나리냉채,bean sprout and winter celery salad
마카로니채소샐러드,macaroni and vegetables salad
마카로니채소샐러드(토마토소스),macaroni and vegetables salad (tomato sauce)
양상추샐러드(사우전아일랜드드레싱),lettuce salad (thousand island dressing)
양배추샐러드(사우전아일랜드드레싱),cabbage salad (thousand island dressing)
양배추샐러드(참깨드레싱),cabbage salad (sesame dressing)
양배추샐러드(레몬드레싱),cabbage salad (lemon dressing)
콩나물무침,seasoned salad with bean sprout
봄동나물,seasoned spring cabbage
머위나물,seasoned butterbur
머윗대나물,seasoned fuki stem
숙주나물김무침,seasoned salad with green bean sprout and salted seaweed
냉이된장무침,seasoned salad with shepherd's purse in soy paste
연근흑임자소스무침,seasoned salad with lotus root in black sesame sauce
양파초절임,onion in vinegar marinade
달래김무침,seasoned salad with wild chive and salted seaweed
양상추샐러드(키위드레싱),lettuce salad (kiwi dressing)
양상추샐러드(오리엔탈드레싱),lettuce salad (oriental dressing)
양상추샐러드(참깨드레싱),lettuce salad (sesame dressing)
배추게맛살샐러드,napa cabbage and soft crab salad
시래기된장무침,seasoned salad with dried radish leaves in soy paste
비트무초절임,beet and daikon in vinegar marinade
파래무침,seasoned salad with sea lettuce
돌나물흑임자샐러드,sedum and black sesame salad
치커리유자청무침,seasoned salad with chicory in yuzu marinade
블루베리고구마샐러드,blueberry sweet potato salad
마카로니채소샐러드(마요네즈),macaroni and vegetables salad (mayonnaise)
양배추샐러드(딸기드레싱),cabbage salad (strawberry dressing)
콩나물김무침,seasoned salad with bean sprout and salted seaweed
시래기들깨나물,seasoned dried radish leaves and perilla seed
오이초절임,cucumber in vinegar marinade
도라지오징어채무침,seasoned salad with bellflower root and sliced cuttlefish
머윗대들깨나물,seasoned fuki stem and perilla seed
상추오이무침,seasoned salad with lettuce and cucumber
도라지배무침,seasoned salad with bellflower root and pear
콘샐러드(올리브유드레싱),corn salad (olive oil dressing)
시래기나물,seasoned dried radish leaves
깻잎들깨나물,seasoned perilla leaf and perilla seed
버섯들깨나물,seasoned mushroom and perilla seed
참외샐러드,Korean melon salad
고구마순된장무침,seasoned salad with sweet potato stem in soy paste
고구마순들깨나물,seasoned sweet potato stem and perilla seed
양배추초절임,cabbage in vinegar marinade
바나나사과키위샐러드,banana apple kiwi salad
(고춧가루제외)노각무침,(chilli powder-free) seasoned salad with overripe cucumber
가지무침,seasoned salad with aubergine
가지양념무침,seasoned salad with aubergine in marinade sauce
(고춧가루제외)도토리묵무침,(chilli powder-free) seasoned salad with acorn jelly
감자채요거트샐러드,potato yoghurt salad
브로콜리흑임자소스무침,seasoned salad with broccoli in black sesame sauce
파프리카콘샐러드,paprika corn salad
북어채무침,seasoned salad with dried pollack slices
양상추샐러드(레몬드레싱),lettuce salad (lemon dressing)
참외노각무침,seasoned salad with Korean melon and overripe cucumber
(고춧가루제외)오이무침,(chilli powder-free) seasoned salad with cucumber
파프리카사과초무침,seasoned salad with paprika and apple in vinegar marinade
고구마샐러드(마요네즈),sweet potato salad (mayonnaise)
도라지들깨나물,seasoned bellflower root and perilla seed
깻잎새콤무침,seasoned salad with perilla leaves in vinegar marinade
사과오렌지샐러드(요거트드레싱),apple orange salad (yoghurt dressing)
양배추채무침,seasoned salad with cabbage slices
으깬견과류고구마샐러드(요거트),sweet potato salad with crushed nuts (yoghurt)
아욱나물무침,seasoned salad with curled mallow
아욱무침,seasoned salad with curled mallow
오이토마토샐러드(발사믹드레싱),cucumber and tomato salad (balsamic vinegar dressing)
채소샐러드(발사믹드레싱),vegetables salad (balsamic vinegar dressing)
양상추샐러드(발사믹드레싱),lettuce salad (balsamic vinegar dressing)
당근숙주나물,seasoned carrot and green bean sprout
크래미숙주나물무침,seasoned salad with soft crab and green bean sprout
연근샐러드(참깨소스),lotus root salad (sesame sauce)
맛살양상추샐러드,soft crab lettuce salad
모듬버섯나물,seasoned mushroom
동부묵무침,seasoned salad with cowpea
하얀무생채,white daikon salad
깻순나물,seasoned perilla leaf
김무침,seasoned salad with salted seaweed
도토리묵간장무침,seasoned salad with acorn jelly in soy sauce
사과샐러드(발사믹드레싱),apple salad (balsamic vinegar dressing)
양상추딸기샐러드,lettuce strawberry salad
방풍나물,wild parsnip
연두부샐러드(오리엔탈드레싱),soft tofu salad (oriental dressing)
땅콩우엉무침,seasoned salad with burdock slices and peanut
게살마요무침,seasoned salad with soft crab in mayonnaise
크래미채소샐러드,soft crab and vegetables salad
크래미유자샐러드,soft crab yuzu salad
게살샐러드,soft crab salad
달걀샐러드,egg salad
달걀숙주냉채,egg green bean sprout salad
당근참치마요무침,seasoned salad with carrot and tuna in mayonnaise
두부참치샐러드,tofu tuna salad
맛살무침,seasoned salad with soft crab
맛살채소새콤무침,seasoned salad with soft crab and vegetables in vinegar marinade
맛살미나리무침,seasoned salad with soft crab and winter celery
맛살콩나물무침,seasoned salad with soft crab and bean sprout
메추리알마요네즈샐러드,quail egg mayonnaise salad
메추리알샐러드,quail egg salad
멕시칸샐러드,Mexican salad
두부미역무침,seasoned salad with tofu and seaweed
두부쑥갓무침,seasoned salad with tofu and crown daisy
양배추맛살나물,seasoned cabbage and soft crab
케이준샐러드,Cajun salad
오이참치마요무침,seasoned salad with cucumber and tuna in mayonnaise
어묵오징어무침,seasoned salad with fried fish paste and cuttlefish
오징어단무지무침,seasoned salad with cuttlefish and pickled daikon
오이맛살무침,seasoned salad with cucumber and soft crab
숙주초무침,seasoned salad with green bean sprout and soft crab in vinegar marinade
숙주맛살무침,seasoned salad with green bean sprout and soft crab
유부맛살숙주무침,seasoned salad with fried tofu soft crab and green bean sprout
소면채소무침,seasoned salad with vegetables and plain noodles
수제비샐러드,Sujebi salad
쫄면채소무침,seasoned salad with vegetables and spicy chewy noodles
콩나물쫄면,bean sprout spicy chewy noodles
채소비빔소면,mixed noodles with vegetables
토마토두부샐러드,tomato tofu salad
토마토카프레제,tomato caprese salad
토마토치즈샐러드,tomato cheese salad
토마토치즈범벅,tomato cheese mash
톳두부무침,seasoned salad with hijiki and tofu
두부톳무침,seasoned salad with hijiki and tofu
두부냉채,tofu salad
쇠고기청포묵무침,seasoned salad with beef and mung bean jelly
골뱅이무침,seasoned salad with freshwater snails
단호박고구마샐러드,sweet pumpkin sweet potato salad
콩나물맛살무침,seasoned salad with bean sprout and soft crab
숙주맛살나물,seasoned green bean sprout and soft crab
쑥갓두부무침,seasoned salad with crown daisy and tofu
오징어초무침,seasoned salad with cuttlefish in vinegar marinade
마카로니콘샐러드,macaroni corn salad
탕평채,mung bean jelly salad
두부참치샐러드(유자청드레싱),tofu tuna salad (yuzu dressing)
닭가슴살샐러드(머스타드소스),chicken salad (mustard sauce)
치킨텐더샐러드(머스타드드레싱),chicken tender salad (mustard dressing)
가자미양념찜,steamed halibut in marinade sauce
대구양념찜,steamed cod in marinade sauce
간장찜닭,steamed chicken in soy sauce
찜닭,steamed chicken
