kor,eng
고추장찌개,Red chilli paste stew
쌀밥(추가),Rice (extra)
김가루주먹밥,Rice ball with seaweed flakes
김주먹밥,Rice ball with seaweed
굴소스닭가슴살덮밥,Rice bowl with chicken in oyster sauce
봄나물덮밥,Rice bowl with spring herbs
떡만두국,Rice cake and dumpling soup
떡만두국(가공만두),Rice cake dumpling soup (processed dumplings)
떡범벅,Rice cake mash
떡국떡미역국,Rice cake seaweed soup
떡국,Rice cake soup
떡탕평채,Rice cake soup with mung bean jelly
쌀국수,Rice noodles
깻잎누드롤,Rice roll with perilla leaves
콩밥,Rice with beans
콩밥(30),Rice with beans (30)
콩밥(40),Rice with beans (40)
소고기콩나물밥+양념장,Rice with beef and bean sprouts + sauce
소고기배추밥+양념장,Rice with beef and napa cabbage + sauce
소고기무밥+양념장,Rice with beef and radish + sauce
청국장국,Rich soy paste soup
청국장찌개,Rich soy paste stew
올갱이된장국,Freshwater snail soy paste soup
가지구이,Roasted aubergine
닭살구이,Roasted chicken
닭가슴살구이+소스,Roasted chicken + sauce
닭봉구이,Roasted chicken drumstick
닭가슴살데리야끼구이,Roasted chicken(breast) in teriyaki sauce
닭살데리야끼구이,Roasted chicken(meat only) in teriyaki sauce
닭가슴살버터구이,Roasted chicken(breast) with butter
닭살버터구이,Roasted chicken(meat only) with butter
햄구이,Roasted ham
돼지고기구이,Roasted pork
돼지목살구이,Roasted pork(Shoulder butt)
돼지고기채소구이,Roasted pork and vegetables
삼겹살구이,Roasted pork belly
돼지고기떡갈비,Roasted short Rib Patties(pork)
돼지고기떡갈비구이,Grilled short Rib Patties(pork)
떡갈비구이,Grilled short Rib Patties(beef)
떡갈비채소볶음,Roasted pork roll with vagetables
돼지고기된장구이,Roasted pork with miso
돼지고기찹쌀구이,Roasted pork with sweet rice
햄알감자버터구이,Roasted potato and ham with butter
감자버터구이,Roasted potato with butter
김구이+양념장,Roasted seaweed + sauce
새우버터구이,Roasted shrimp with butter
오리훈제구이,Smoked duck
훈제오리구이,Grilled smoked duck
오리훈제구이(머스타드소스),Roasted smoked duck (mustard sauce)
훈제오리구이+무쌈,Roasted smoked duck + daikon-wraps
오리훈제채소구이,Roasted smoked duck with vagetable
양배추달걀말이,Rolled cabbage omelet
참치달걀말이,Rolled omelet with tuna
달걀말이,Rolled omelette
가지달걀말이,Rolled omelette with aubergine
달걀치즈말이,Omelette with cheese
치즈달걀말이,Egg rolls with cheese
날치알달걀말이,Rolled omelette with flying fish roe
햄달걀말이,Rolled omelette with ham
우유달걀말이,Rolled omelette with milk
깻잎달걀말이,Rolled omelette with perilla leaves
김달걀말이,Rolled omelette with salted seaweed
새우달걀말이,Rolled omelette with shrimp
맛살달걀말이,Rolled omelette with soft crab
달걀시금치말이,Omelette with spinach
시금치달걀말이,Egg rolls with spinach
채소달걀말이,Rolled omelette with vegetables
파프리카달걀말이,Rolled paprika omelet
뿌리채소맛탕,Root vegetable mattang
궁중떡볶음,Royal-style stir-fried rice cake
궁중떡볶이,Royal-style tteokbokki (stir-fried rice cake)
S치즈스크램블에그,S  cheese scrambled eggs
S(저당)씨리얼,S (low-sugar) cereal
S(가공)소고기스프,S (processed) beef soup
S(가공)크림스프,S (processed) cream soup
S전복죽,S abalone porridge
S온도토리묵국,S acorn jelly soup
S알리오올리오스파게티,S aglio e olio spaghetti
S아몬드,S almond
S아몬드사과도넛,S almond apple doughnut
S아몬드견과죽,S almond nut porridge
S아몬드스프,S almond soup
S멸치죽,S anchovy  porridge
S멸치주먹밥,S anchovy rice ball
S멸치채소죽,S anchovy veggie porridge
S사과(100g),S apple (100g)
S사과(35g),S apple (35g)
S사과(50g),S apple (50g)
S사과(75g),S apple (75g)
S애플파이,S apple pie
S사과샐러드(마요네즈),S apple salad (mayonnaise)
S가지죽,S aubergine porridge
S가지두부죽,S aubergine tofu porridge
S바나나(100g),S banana (100g)
S바나나(50g),S banana (50g)
S바나나사과키위샐러드,S banana apple kiwi salad
S바나나핫케이크,S banana pancake
S바나나쉐이크,S banana shake
S잔치국수,S banquet noodles
S바람떡,S baram rice cake (with bean paste)
S바람떡(40g),S baram rice cake (with bean paste) (40g)
S보리떡(40g),S barley rice cake (40g)
S보리차,S barley tea
S콩나물죽,S bean sprout porridge
S소고기청경채죽,S beef bokchoy porridge
S소고기브로콜리죽,S beef broccoli porridge
S현미소고기죽,S beef brown rice  porridge
S소고기우엉죽,S beef burdock porridge
S소고기옥수수죽,S beef corn porridge
S소고기볶음밥,S beef fried rice
S소고기부추죽,S beef korean-leek porridge
S소고기타락죽,S beef milk porridge
S소고기양파죽,S beef onion porridge
S소고기파프리카볶음밥,S beef paprika fried rice
S소고기죽,S beef porridge
S소고기감자죽,S beef potato porridge
S소고기무죽,S beef radish porridge
S소고기주먹밥,S beef rice balls
S소고기미역죽,S beef seaweed porridge
S소고기스프,S beef soup
S소고기장국죽,S beef soup porridge
S소고기된장죽,S beef soybean paste porridge
S소고기채소죽,S beef vegetable porridge
S비스켓,S biscuit
S흑미치즈죽,S black rice cheese porridge
S검은깨죽,S Drie black sesame porridge
S흑임자죽,S black sesame porridge
S흑임자떡,S black sesame rice cake
S검은깨두유(100ml),S black sesame soy milk (100ml)
S검은깨두유(150ml),S black sesame soy milk (150ml)
S검은깨두유(200ml),S black sesame soy milk (200ml)
S검정콩두유죽,S black soy milk porridge
S짜장면,S black soy noodles
S검은콩죽,S black soy porridge
S짜장떡볶이,S black soy tteokbokki (stir-fried rice cake)
S검은콩우유(100ml),S black soybean milk (100ml)
S검은콩우유(150ml),S black soybean milk (150ml)
S검은콩우유(200ml),S black soybean milk (200ml)
S블루베리(50g),S blueberry (50g)
S블루베리바나나쉐이크,S blueberry banana shake
S블루베리고구마샐러드,S blueberry sweet potato salad
S삶은감자,S boiled potato
S삶은고구마,S boiled sweet potato
S청경채죽,S bokchoy porridge
S식빵+딸기잼,S bread + strawberry jam
S롤빵,S bread roll
S식빵두유죽,S bread soy milk porridge
S밤식빵,S bread with chestnut
S브로콜리소고기죽,S broccoli beef porridge
S브로콜리크림스프,S broccoli cream soup
S브로콜리된장죽,S broccoli miso porridge
S브로콜리죽,S broccoli porridge
S브로콜리스프,S broccoli soup
S현미애호박죽,S brown rice zucchini porridge
S온메밀국수,S buckwheat noodles
S우엉죽,S burdock porridge
S우엉주먹밥,S burdock rice ball
S양배추현미죽,S cabbage brown rice porridge
S양배추죽,S cabbage porridge
S양배추감자죽,S cabbage potato porridge
S양배추새우죽,S cabbage shrimp porridge
S카카오올리브케익,S cacao olive cake
S케이크,S cake
S당근두부스넥,S carrot and tofu snack
S당근치즈죽,S carrot cheese porridge
S당근치즈스프,S carrot cheese soup
S당근크림스프,S carrot cream soup
S당근죽,S carrot porridge
S당근김죽,S carrot seaweed flake porridge
S당근스프,S carrot soup
S당근스틱,S carrot stick
S당근타락죽,S carrot sweet potato porridge
S캐슈넛참깨죽,S cashewnut sesame porridge
S씨리얼,S cereal
S근대된장죽,S chard miso porridge
S근대죽,S chard porridge
S치즈,S cheese
S치즈빵,S cheese bread
S치즈케이크,S cheese cake
S치즈꼬마김밥,S cheese mini-gimbap (rice roll)
S치즈머핀,S cheese muffin
S치즈죽,S cheese porridge
S치즈주먹밥,S cheese rice ball
S치즈누룽지죽,S cheese rice crust porridge
S치즈게살죽,S cheese soft crab porridge
S치즈스틱,S cheese stick
S치즈고구마죽,S cheese sweet potato porridge
S방울토마토(70g),S cherry tomato (70g)
S밤죽,S chestnut porridge
S닭살가지죽,S chicken aubergine porridge
S닭고기흑임자죽,S chicken black sesame porridge
S닭살양배추죽,S chicken cabbage porridge
S닭가슴살옥수수죽,S chicken corn porridge
S닭살배추죽,S chicken napa cabbage porridge
S닭죽,S chicken porridge
S닭고기주먹밥,S chicken rice ball
S닭가슴살채소죽,S chicken veggie porridge
S냉콩국+소면,S chilled bean soup with noodles
S메밀국수,S chilled buckwheat noodles
S부추닭죽,S chive chicken porridge
S부추죽,S chive porridge
S부추타락죽,S chive sweet potato porridge
S충무김밥,S choongmoo gimbap (rice roll)
S다진유부주먹밥,S chopped fried tofu rice ball
S슈크림빵,S choux pastry
S취나물죽,S chwinamul porridge
S된장취나물죽,S chwinamul soy paste porridge
S수정과,S cinnamon punch
S조갯살죽,S clam porridge
S대구채소죽,S cod veggie porridge
S쿠키,S cookie
S옥수수빵,S corn bread
S옥수수씨리얼,S corn cereal
S옥수수치즈스프,S corn cheese  soup
S옥수수크림스프,S corn cream soup
S옥수수양파죽,S corn onion porridge
S옥수수죽,S corn porridge
S옥수수스프,S corn soup
S옥수수타락죽,S corn sweet potato porridge
S게맛살죽,S crab meat porridge
S크랜베리찹쌀케이크,S cranberry sweet rice cake
S크림빵,S cream bread
S크림리조또,S cream risotto
S크림소스스파게티,S cream sauce spaghetti
S새우크림소스볶음,S cream shrimp stir-fry
S크림스프,S cream soup
S크림떡볶이,S cream tteokbokki (stir-fried rice cake)
S크로와상(30g),S croissant (30g)
S크로와상샌드위치,S croissant sandwich
S크로와상,S croissants
S고로케,S croquette
S크루통,S crouton
S오이당근스틱,S cucumber carrot stick
S오이달걀샐러드빵,S cucumber egg salad sandwich
S오이스틱,S cucumber stick
S아욱죽,S curled mallow porridge
S아욱된장죽,S curled mallow soy paste porridge
S오징어채소죽,S cuttlefish veggie porridge
S가지카레튀김,S deep-fried aubergine in curry
S닭강정,S deep-fried chicken nuggets
S연근강정,S deep-fried crispy lotus root
S연근튀김,S deep-fried lotus root
S새우튀김,S deep-fried shrimp
S단호박튀김,S deep-fried sweet pumpkin
S톳채소튀김,S deep-fried vegetables with hijiki
S닭영양죽,S deluxe chicken porridge(Korean style)
S영양닭죽,S deluxe chicken porridge
S영양부추타락죽,S deluxe chive sweet potato porridge
S영양주먹밥,S deluxe rice ball
S도너츠,S donuts
S곶감,S dried persimmon
S황태죽,S dried pollack porridge
S북어채소죽,S dried pollack veggie porridge
S무청죽,S dried radish porridge
S레몬소스탕수육,S dumpling in lemon sauce
S달걀미나리빵,S egg bun with water celery
S달걀당근죽,S egg carrot porridge
S달걀부추빵,S egg chive break
S달걀부추죽,S egg chive porridge
S달걀죽,S egg porridge
S달걀토스트,S egg toast
S달걀채소죽,S egg veggie porridge
S증편,S fermented rice cake
S증편(40g),S fermented rice cake (40g)
S생선죽,S fish porridge
S오색롤샌드위치,S five-color roll sandwich
S프렌치토스트,S french toast
S어묵탕,S fried fish paste soup
S양념꼬치어묵,S fried fish paste with seasoning
S군만두,S fried mandu (dumpling)
S호떡,S fried pancake
S채소튀김,S fried vegetables
S과일화채,S fruit punch
S과일샐러드,S fruit salad
S과일샐러드(마요네즈),S fruit salad (mayonnaise)
S과일샐러드(요거트드레싱),S fruit salad (yoghurt dressing)
S과일연두부스무디,S fruit soft tofu smoothie
S후리가케주먹밥,S furigake rice ball
S푸실리샐러드,S fusilli salad
S마늘빵,S garlic bread
S찰옥수수스프,S glutinous corn soup
S포도(100g),S grape (100g)
S포도주스,S grape juice
S방울토마토(35g),S grape tomato(35g)
S청포도(100g),S green grape (100g)
S매실젤리,S green plum jelly
S매실주스,S green plum juice
S매실쥬스,S green plum juice(Korean style-handmade)
S매실차,S green plum tea
S옥수수버터구이,S grilled corn with butter
S가래떡구이,S grilled rice cake
S군고구마,S grilled sweet potato
S단호박구이,S grilled sweet pumpkin
S송편,S half-moon rice cake
S송편(40g),S half-moon rice cake (40g)
S수제멸치과자,S handmade anchovy snack
S수제감자피자,S handmade potato pizza
S수제새우과자,S handmade shrimp snack
S삶은달걀(30g),S hard boiled egg (30g)
S삶은달걀(50g),S hard boiled egg (50g)
S수제바나나우유,S homestyle banana milk
S수제블루베리바나나우유,S homestyle blueberry banana milk
S수제블루베리우유,S homestyle blueberry milk
S수제딸기우유,S homestyle strawberry milk
S꿀호떡,S honey-filled fried pancake
S꿀떡,S honey-filled rice cake
S코코아,S hot chocolate
S핫도그,S hot dog
S인절미,S injeolmi (rice cake coated with bean powder)
S잼샌드위치,S jam sandwich
S대추우유죽,S jujube milk porridge
S대추우유스프,S jujube milk soup
S김치치즈죽,S kimchi cheese  porridge
S김치죽,S kimchi porridge
S김치누룽지죽,S kimchi rice crust porridge
S키위(100g),S kiwi (100g)
S키위(50g),S kiwi (50g)
S칼국수,S knife-cut noodle soup
S참외(100g),S korean melon (100g)
S참외(50g),S korean melon (50g)
S참외샐러드,S korean melon salad
S부추된장죽,S korean-leek miso porridge
S거봉(100g),S kyogo grape (100g)
S레몬주스,S lemon juice
S연근어묵,S lotus root fish cake
S연근채소죽,S lotus root veggie porridge
S마카로니채소샐러드,S macaroni and vegetable salad
S마들렌,S madeleine
S매생이죽,S maesaengyi porridge
S맘모스빵,S mammoth bread
S귤(80g),S mandarin (80g)
S망고주스,S mango juice
S바지락죽,S manila clam porridge
S미트볼스파게티,S meat ball spaghetti
S멜론(100g),S melon (100g)
S멜론(50g),S melon (50g)
S멜론(75g),S melon (75g)
S멜론퓨레,S melon puree
S우유(100ml),S milk (100ml)
S우유(150ml),S milk (150ml)
S우유(200ml),S milk (200ml)
S모닝빵,S milk bread roll
S모닝빵+딸기잼,S milk bread roll + strawberry jam
S우유크림스프,S milk cream soup
S우유미숫가루,S milk with misugaru (mixed grain powder)
S미니핫도그,S mini hotdog
S미니우동,S mini udon (white wheat noodles)
S물만두,S mini-mandu (dumpling)
S미숫가루,S misugaru (mixed grain powder)
S비빔국수,S mixed noodles
S오이비빔국수,S mixed noodles with cucumber
S깻잎비빔국수,S mixed noodles with perilla leaves
S모카빵,S moca bread
S머핀,S muffin
S쑥떡,S mugwort rice cake
S쑥떡(40g),S mugwort rice cake (40g)
S녹두죽,S mung bean porridge
S버섯브로콜리채소죽,S mushroom broccoli vegetable porridge
S버섯치즈죽,S mushroom cheese porridge
S버섯죽,S mushroom porridge
S버섯장국죽,S mushroom soy paste porridge
S버섯채소죽,S mushroom veggie porridge
S배추달걀죽,S napa cabbage egg porridge
S배추버섯죽,S napa cabbage mushroom porridge
S복숭아(천도)-60g,S nectarine -60g
S복숭아(천도)-80g,S nectarine -80g
S안매운김치볶음밥,S non-spicy stir-fried rice with kimchi
S김치말이국수,S noodles with kimchi
S견과류,S nuts
S견과죽,S nuts porridge
S오트밀죽,S oatmeal porridge
S오미자아이스크림,S omija ice cream
S오미자차,S omija tea
S양파치즈죽,S onion cheese porridge
S양파치즈스프,S onion cheese soup
S양파북어죽,S onion dried pollack porridge
S양파타락죽,S onion sweet potato porridge
S오렌지(100g),S orange (100g)
S오렌지(50g),S orange (50g)
S오렌지주스,S orange juice
S오렌지주스(무가당),S orange juice (sugar-free)
S느타리버섯죽,S oyster mushroom porridge
S핫케이크,S pancake
S양배추치즈전,S pan-fried cabbage with cheese
S부추전,S pan-fried chive
S옥수수전,S pan-fried corn
S김치전,S pan-fried kimchi
S연근전,S pan-fried lotus root
S완자전,S pan-fried meat dumpling
S동태전,S pan-fried pollack
S파래전,S pan-fried sea lettuce
S해물파전,S pan-fried seafood and spring onion
S새우채소전,S pan-fried shrimp and vegetables
S단호박전,S pan-fried sweet pumpkin
S채소전,S pan-fried vegetables
S쑥채소전,S pan-fried vegetables with mugwort
S참치채소전,S pan-fried vegetables with tuna
S파프리카감자크림스프,S paprika potato cream soup
S파프리카유부초밥,S paprika rice ball with fried tofu
S파프리카스틱,S paprika stick
S복숭아(60g),S peach (60g)
S복숭아(80g),S peach (80g)
S복숭아(백도)-60g,S peach (white) - 60g
S복숭아(황도)-60g,S peach (yellow) - 60g
S복숭아호두스무디,S peach walnut smoothie
S땅콩,S peanut
S땅콩죽,S peanut porridge
S배(100g),S pear (100g)
S배(50g),S pear (50g)
S들깨죽,S perilla porridge
S들깨누룽지죽,S perilla seed rice crust porridge
S두부들깨죽,S perilla seed tofu porridge
S꼬마김밥(달걀제외),S petite gimbap (no eggs)
S잣죽,S pine nut porridge
S잣찹쌀죽,S pine nut sweet rice porridge
S파인애플(50g),S pineapple (50g)
S피자빵,S pizza bread
S자두(50g),S plum (50g)
S동태살죽,S pollack porridge
S돼지고기채소죽,S pork veggie porridge
S감자치즈죽,S potato cheese porridge
S감자죽,S potato porridge
S감자건포도샐러드,S potato raisin salad
S감자샐러드,S potato salad
S감자된장죽,S potato soy paste porridge
S감자우유죽,S potato sweet milk porridge
S감자찹쌀죽,S potato sweet rice porridge
S감자채소죽,S potato vagetable porridge
S감자채요거트샐러드,S potato yoghurt salad
S절편,S pounded rice cake
S절편(40g),S pounded rice cake (40g)
S늙은호박죽,S pumpkin porridge
S표고버섯죽,S pyogo mushroom porridge
S무지개떡,S rainbow rice cake
S무지개떡(40g),S rainbow rice cake (40g)
S건포도감자볼,S raisin potato bowl
S단팥죽,S sweet red bean porridge
S팥죽,S red bean porridge
S주먹밥,S rice ball
S유부초밥,S rice ball with fried tofu
S참나물유부초밥,S rice ball with fried tofu and spring parsley
S김가루주먹밥,S rice ball with seaweed flakes
S떡국,S rice cake soup
S개피떡,S rice cake with bean paste
S개피떡(40g),S rice cake with bean paste (40g)
S쌀과자,S rice cracker
S누룽지치즈죽,S rice crust cheese  porridge
S누룽지죽,S rice crust porridge
S쌀국수,S rice noodles
S흰죽,S rice porridge
S식혜,S rice punch
S도토리묵밥,S rice with chilled acorn jelly soup
S온도토리묵밥,S rice with hot acorn jelly soup
S쌀음료,S rice-based beverage
S쌀씨리얼,S rice-based cereal
S웨지감자구이,S roasted potato wedge
S버터감자구이,S roasted potato with butter
S로제스파게티,S rose spaghetti
S궁중떡볶이,S royal-style tteokbokki (stir-fried rice cake)
S새송이버섯죽,S saesongyi mushroom porridge
S명란죽,S salted pollack roe porridge
S샌드위치,S sandwich
S스크램블에그(버터),S scrambled egg (butter)
S스크램블에그,S scrambled eggs
S시금치스크램블에그,S scrambled eggs with spinach
S토마토스크램블에그,S scrambled eggs with tomato
S채소스크램블에그,S scrambled eggs with vegetables
S파래죽,S sea lettuce porridge
S해물죽,S seafood porridge
S간장소면무침,S seasoned noodles in soy-sauce
S도토리묵무침,S seasoned salad with acorn jelly
S미역죽,S seaweed porridge
S미역채소죽,S seaweed veggie porridge
S다시마흰살생선죽,S brown kelp white fish porridge
S씨앗호떡,S seed-filled fried pancake
S참깨크림스프,S sesame cream soup
S참깨우유스프,S sesame milk soup
S깨죽,S sesame porridge
S참깨죽,S deluxe sesame porridge
S참깨스프,S sesame soup
S참깨타락죽,S sesame sweet potato porridge
S참깨채소죽,S sesame veggie porridge
S새우치즈죽,S shrimp cheese porridge
S새우볶음밥,S shrimp fried rice
S새우살죽,S shrimp porridge
S새우죽,S shrimp porridge with vegetables
S밥새우주먹밥,S shrimp flakes rice ball
S새우주먹밥,S shrimp rice ball
S새우채소죽,S shrimp vagetable porridge
S새우애호박죽,S shrimp zucchini porridge
S시루떡,S sirutteok
S백설기,S snow white rice cake
S백설기(80g),S snow white rice cake (80g)
S소보로빵,S soboro bun (streusel-like crusted bread)
S게살치즈죽,S soft crab cheese porridge
S게살죽,S soft crab porridge
S크래미게살죽,S crab sticks porridge
S게살채소스프,S soft crab veggie soup
S연두부+양념장,S soft tofu + marinade sauce
S연두부게살스프,S soft tofu crap soup
S순두부죽,S unpressed tofu porridge
S연두부죽,S soft tofu porridge
S연두부샐러드(오리엔탈드레싱),S soft tofu salad (oriental dressing)
S순두부채소죽,S unpressed veggie porridge
S연두부채소죽,S soft tofu veggie porridge
S둥글레차,S solomon's seal tea
S콩두유,S soy milk
S두유(100ml),S soy milk (100ml)
S두유(150ml),S soy milk (150ml)
S두유(200ml),S soy milk (200ml)
S장국죽,S soy paste porridge
S간장닭강정,S soy-based deep-fried chicken nuggets
S간장비빔국수,S soy-based mixed noodles
S간장떡볶이,S soy-based tteokbokki (stir-fried rice cake)
S대두콩죽,S soybean porridge
S시금치치즈죽,S spinach cheese porridge
S시금치크림스프,S spinach cream soup
S시금치견과류주먹밥,S spinach nuts rice ball
S시금치죽,S spinach porridge
S시금치감자죽,S spinach potato porridge
S시금치스프,S spinach soup
S시금치된장죽,S spinach soy paste porridge
S시금치스프레드식빵피자,S spinach spread white bread pizza
S카스텔라,S sponge cake
S참나물죽,S spring parsley porridge
S찐빵,S steamed bread
S채소찐빵,S steamed bread with vegetables
S찐밤,S steamed chestnut
S찐옥수수,S steamed corn
S찐만두,S steamed mandu (dumpling)
S찐감자,S steamed potato
S노란시루떡,S steamed rice cake
S밤설기,S steamed rice cake with chestnut
S밤설기(40g),S steamed rice cake with chestnut (40g)
S쑥버무리,S steamed mugwort with sweet rice powder
S쑥설기,S steamed rice cake with mugwort
S쑥설기(40g),S steamed rice cake with mugwort (40g)
S찐고구마,S steamed sweet potato
S찐고구마(80g),S steamed sweet potato (80g)
S단호박찜,S steamed sweet pumpkin
S단호박견과류찜,S steamed sweet pumpkin with nuts
S볶음현미죽,S stir-fried brown rice porridge
S어묵잡채,S stir-fried fish cake and glass noodles
S마늘종잡채,S stir-fried garlic scapes and glass noodles
S피망잡채,S stir-fried paprika and glass noodles
S돼지고기잡채,S stir-fried pork with glass noodles
S해물굴소스볶음밥,S stir-fried rice in oyster sauce
S우엉채소볶음밥,S stir-fried rice with burdock and vegetables
S닭가지볶음밥,S stir-fried rice with chicken and aubergine
S달걀볶음밥,S stir-fried rice with eggs
S달걀채소볶음밥,S stir-fried rice with eggs and vegetables
S주꾸미미나리볶음밥,S stir-fried rice with jukkumi and water celery
S김치볶음밥,S stir-fried rice with kimchi
S새우채소볶음밥,S stir-fried rice with shrimp and vegetables
S참치가지볶음밥,S stir-fried rice with tuna and aubergine
S볶음우동,S stir-fried udon (white wheat noodles)
S딸기(100g),S strawberry (100g)
S딸기쨈식빵,S strawberry jam bread
S수제비,S sujebi
S들깨수제비,S sujebi with perilla seeds
S열무죽,S summer radish porridge
S수리취떡,S surichui rice cake
S수리취떡(40g),S surichui rice cake (40g)
S녹차밤양갱,S sweet green tea and chestnut jelly
S단감(50g),S sweet persimmon (50g)
S고구마청경채죽,S sweet potato bokchoy porridge
S고구마경단,S sweet potato dango
S고구마맛탕,S sweet potato mattang (sugar-glazed deep-fried sweet potato wedge)
S고구마죽,S sweet potato porridge
S고구마타락죽,S sweet potato porridge with milk
S타락죽,S milk porridge
S고구마샐러드(마요네즈),S sweet potato salad (mayonnaise)
S으깬견과류고구마샐러드(요거트),S sweet potato salad with crushed nuts (yoghurt)
S고구마쉐이크,S sweet potato shake
S고구마스프,S sweet potato soup
S고구마두부죽,S sweet potato tofu porridge
S단호박크림리조또,S sweet pumpkin cream risotto
S단호박크림스프,S sweet pumpkin cream soup
S단호박꿀찜,S sweet pumpkin honey steam
S단호박죽,S sweet pumpkin porridge
S단호박떡케익,S sweet pumpkin rice cake-based cake
S단호박식혜,S sweet pumpkin rice punch
S단호박샐러드,S sweet pumpkin salad
S단호박샐러드(마요네즈),S sweet pumpkin salad (mayonnaise)
S단호박스프,S sweet pumpkin soup
S단호박설기,S sweet pumpkin steamed rice cake
S단팥빵,S sweet red bean bun
S단팥도너츠,S sweet red bean doughnut
S찹쌀닭죽,S sweet rice chicken porridge
S찹쌀도너츠,S sweet rice doughnut
S김가루찹쌀죽,S sweet rice porridge with seaweed flakes
S찹쌀고구마죽,S sweet rice sweet potato porridge
S찹쌀단호박죽,S sweet rice sweet pumpkin porridge
S귤(50g),S tangerine (50g)
S토스트,S toast
S식빵토스트,S toasted bread
S두부,S tofu
S두부부추죽,S tofu chive porridge
S두부죽,S tofu porridge
S연두부,S tofu pudding
S두부채소죽,S tofu vagetable porridge
S토마토(100g),S tomato (100g)
S토마토(200g),S tomato (200g)
S토마토주스,S tomato juice
S토마토쉐이크,S tomato shake
S토마토스파게티,S tomato spaghetti
S토마토두부샐러드,S tomato tofu salad
S떡볶이,S tteokbokki (stir-fried rice cake)
S참치죽,S tuna porridge
S참치주먹밥,S tuna rice ball
S참치밥전,S tuna rice pancake
S참치미역죽,S tuna seaweed porridge
S참치채소죽,S tuna veggie porridge
S우동,S udon (white wheat noodles)
S해물볶음우동,S udon (white wheat noodles) with stir-fried seafood
S베지밀,S vegemil
S채소죽,S veggie porridge
S김가루채소죽,S veggie porridge with seaweed flakes
S채소주먹밥,S veggie rice ball
S채소스프,S veggie soup
S호두,S walnut
S호두치즈죽,S walnut cheese porridge
S호두오곡죽,S walnut five-grain porridge
S호두우유,S walnut milk
S호두죽,S walnut porridge
S호두찹쌀죽,S walnut sweet rice porridge
S호두두부쉐이크,S walnut tofu shake
S호두채소죽,S walnut veggie porridge
S수박(100g),S watermelon (100g)
S수박화채,S watermelon punch
S(우유제외)수박화채,S watermelon punch (without milks)
S흰살생선죽,S white fish porridge
S복숭아(백도)-80g,S white peach -80g
S닭백숙,S whole chicken soup
S얼갈이된장죽,S winter cabbage miso porridge
S얼갈이배추죽,S winter cabbage porridge
S약과,S yakgwa (honey cookie)
S약식,S yaksik (sweet rice with jujube)
S요구르트,S yakult
S양송이치즈죽,S yangsongyi mushroom cheese porridge
S양송이크림스프,S yangsongyi mushroom cream soup
S양송이버섯죽,S button mushroom porridge
S양송이죽,S button mushroom porridge(soy sauce)
S양송이버섯스프,S button mushroom soup with vegetable
S양송이스프,S button mushroom soup
S양송이채소죽,S yangsongyi mushroom veggie porridge
S복숭아(황도)-80g,S yellow peach-80g
S떠먹는요구르트(100ml),S yoghurt (100ml)
S유자차,S yuzu tea
S애호박죽,S young pumpkin porridge
S호박죽,S old pumpkin porridge
S애호박감자죽,S zucchini potato porridge
S애호박김죽,S zucchini seaweed flake porridge
S애호박다시마죽,S zucchini brown kelp porridge
S애호박두부죽,S zucchini tofu porridge
새송이버섯국,Saesongyi mushroom soup
연어스테이크,Salmon steak
가자미소금구이,Salt grilled halibut
건파래자반,Salted dried sea lettuce
파래자반,Salted sea lettuce
김자반,Salted seaweed
김국,Salted seaweed soup
새우젓국찌개,Salted shrimp soup or stew
비엔나브로콜리꼬지,Sausage broccoli skewers
소떡소떡,Sausage rice cake skewers
부대찌개,Sausage stew
어린이부대찌개,Sausage stew for kids
스크램블에그,Scrambled eggs
베이컨스크램블에그,Scrambled eggs with bacon
파프리카스크램블에그,Scrambled eggs with paprika
새우살스크램블에그,Scrambled eggs with shrimp
게살스크램블에그,Scrambled eggs with soft crab
맛살스크램블에그,Scrambled eggs with crab sticks
시금치스크램블에그,Scrambled eggs with spinach
토마토스크램블에그,Scrambled eggs with tomato
채소스크램블에그,Scrambled eggs with vegetables
세발나물,Sea spurrey
해물버섯덮밥,Seafood mushroom rice bowl
해물칼국수,Seafood noodle soup
해산물칼국수,Seafood(+shrimp) noodle soup
해물탕,Seafood soup
청포묵숙주김무침,"Seaseond mungbean jelly, green bean sprouts, and roasted seaweed"
가지들깨나물,Seasoned aubergine and perilla seed
콩나물당근무침,Seasoned bean sprout and carrot
소고기청포묵무침,Seasoned beef and mungbean jelly
소고기김무침,Seasoned beef and roasted seaweed
도라지나물,Seasoned bellflower root
도라지들깨나물,Seasoned bellflower root and perilla seed
청경채나물,Seasoned bokchoy
브로콜리나물,Seasoned broccoli
머위나물,Seasoned butterbur
양배추나물,Seasoned cabbage
양배추맛살나물,Seasoned cabbage and soft crab
양배추호두무침,Seasoned cabbage and walnuts
양배추된장나물,Seasoned cabbage in soy paste
유채나물,Seasoned canola
당근숙주나물,Seasoned carrot and green bean sprout
근대나물,Seasoned chard
부추나물,Seasoned chive
쑥갓나물,Seasoned crown daisy(soy sauce)
쑥갓팽이버섯나물,Seasoned crown daisy and winter mushroom
오이나물,Seasoned cucumber
무나물,Seasoned daikon
들깨무나물,Seasoned daikon and perilla seed
표고버섯무나물,Seasoned daikon and pyogo mushroom
시래기나물,Seasoned dried radish leaves
시래기들깨나물,Seasoned dried radish leaves and perilla seed
머윗대나물,Seasoned fuki stem
머윗대들깨나물,Seasoned fuki stem and perilla seed
